Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cm2),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
1047.15171,0.654,0.648,0.643,0.651,0.643,3.239,0.70442,70.442,27.855,40.981,42.169,51.559,53.756,55.399,1300.612,1269.431,1304.92,1292.432,4.796,2.069,23.036,21.198,1.987,50.116
1047.160081,0.654,0.647,0.642,0.65,0.642,3.235,0.70447,70.447,27.847,40.921,42.183,51.589,53.806,55.437,1301.522,1269.943,1301.669,1289.755,4.799,2.148,23.038,21.134,1.985,49.928
1047.168488,0.654,0.647,0.642,0.65,0.642,3.235,0.70437,70.437,27.827,40.847,42.237,51.627,53.868,55.475,1301.692,1270.398,1297.62,1284.572,4.796,2.126,23.036,21.13,1.986,50.04
1047.176862,0.653,0.648,0.642,0.65,0.642,3.235,0.70452,70.452,27.844,41.203,42.275,51.481,53.58,55.052,1300.327,1269.26,1295.168,1282.294,4.795,2.108,23.038,21.192,1.989,50.935
1047.18525,0.654,0.649,0.642,0.65,0.642,3.237,0.70447,70.447,27.849,41.035,42.287,51.571,53.747,55.411,1301.067,1270.171,1297.05,1284.059,4.797,2.046,23.036,21.185,1.989,50.266
1047.19364,0.653,0.648,0.642,0.649,0.641,3.233,0.70437,70.437,27.856,40.969,42.292,51.669,53.765,55.396,1301.806,1272.106,1300.186,1287.762,4.796,2.068,23.038,21.191,1.989,50.132
1047.202029,0.653,0.648,0.641,0.649,0.641,3.232,0.70452,70.452,27.861,40.801,42.272,51.639,53.823,55.466,1301.01,1270.74,1303.665,1291.065,4.802,2.077,23.038,21.196,1.989,50.226
1047.21044,0.653,0.649,0.642,0.65,0.641,3.235,0.70447,70.447,27.853,40.7,42.279,51.665,53.867,55.493,1301.351,1270.683,1305.946,1293.457,4.796,2.088,23.038,21.189,1.989,49.953
1047.218809,0.653,0.649,0.642,0.65,0.642,3.236,0.70452,70.452,27.856,41.076,42.209,51.588,53.758,55.345,1299.133,1269.26,1298.932,1286.395,4.796,2.149,23.036,21.187,1.989,50.19
1047.227199,0.653,0.649,0.642,0.65,0.642,3.236,0.70447,70.447,27.864,40.986,42.165,51.63,53.808,55.457,1300.896,1270.171,1294.712,1281.952,4.796,2.129,23.036,21.192,1.989,49.981
1047.23559,0.653,0.647,0.642,0.65,0.641,3.233,0.70452,70.452,27.862,40.849,42.168,51.624,53.847,55.493,1301.635,1271.081,1297.848,1285.426,4.794,2.026,23.039,21.139,1.989,49.823
1047.243996,0.653,0.649,0.641,0.65,0.641,3.234,0.70442,70.442,27.862,40.748,42.174,51.574,53.717,55.281,1302.034,1270.854,1303.494,1291.122,4.796,2.069,23.032,21.192,1.988,50.415
1047.252387,0.654,0.649,0.642,0.65,0.642,3.237,0.70447,70.447,27.862,41.413,42.241,51.585,53.729,55.413,1301.237,1270.114,1305.319,1292.261,4.794,2.149,23.039,21.189,1.986,50.151
1047.260777,0.653,0.648,0.642,0.65,0.641,3.234,0.70442,70.442,27.849,41.01,42.241,51.591,53.793,55.454,1299.531,1269.374,1297.449,1284.287,4.795,2.128,23.043,21.134,1.988,50.045
1047.269148,0.653,0.648,0.642,0.65,0.642,3.235,0.70442,70.442,27.856,40.823,42.232,51.577,52.97,55.375,1300.668,1269.886,1293.571,1281.268,4.794,2.129,23.036,21.185,1.985,50.104
1047.277537,0.655,0.649,0.642,0.65,0.642,3.238,0.70452,70.452,27.853,41.37,42.252,51.549,53.74,55.386,1302.489,1271.593,1300.243,1288.787,4.799,2.046,23.036,21.255,1.985,50.158
1047.285927,0.653,0.648,0.641,0.649,0.641,3.232,0.70447,70.447,27.867,40.894,42.246,51.559,53.714,55.399,1300.953,1271.024,1305.718,1293.457,4.798,2.068,23.038,21.194,1.987,49.949
1047.294317,0.653,0.648,0.642,0.65,0.642,3.235,0.70442,70.442,27.873,40.81,42.204,51.573,53.785,55.439,1301.123,1271.024,1300.015,1287.762,4.796,2.149,23.038,21.134,1.989,49.835
1047.302707,0.655,0.649,0.642,0.651,0.643,3.24,0.70437,70.437,27.859,40.739,42.172,51.604,53.835,55.496,1300.896,1269.146,1296.651,1284.401,4.795,2.127,23.036,21.189,1.989,49.735
1047.311096,0.654,0.649,0.642,0.65,0.642,3.237,0.70437,70.437,27.862,41.457,42.148,51.479,53.717,55.265,1301.92,1270.285,1294.997,1282.464,4.797,2.109,23.036,21.145,1.987,50.252
1047.319486,0.654,0.648,0.643,0.65,0.642,3.237,0.70442,70.442,27.862,40.941,42.197,51.502,53.725,55.386,1301.408,1270.455,1299.958,1287.762,4.794,2.046,23.041,21.187,1.989,50.188
1047.327877,0.654,0.648,0.643,0.651,0.642,3.238,0.70432,70.432,27.849,40.939,42.272,51.497,53.768,55.402,1301.294,1269.374,1304.292,1291.179,4.793,2.069,23.038,21.168,1.989,50.011
1047.336267,0.652,0.646,0.641,0.649,0.64,3.228,0.70437,70.437,27.862,40.906,42.311,51.545,53.821,55.452,1295.378,1265.277,1305.034,1292.09,4.815,2.149,23.036,20.993,1.991,50.008
1047.344655,0.653,0.647,0.641,0.649,0.641,3.231,0.70447,70.447,27.856,40.805,42.328,51.621,53.708,55.493,1300.498,1269.772,1298.133,1284.857,4.805,2.126,23.038,21.185,1.989,49.916
1047.353046,0.652,0.646,0.641,0.649,0.641,3.229,0.70437,70.437,27.852,41.073,42.33,51.556,53.805,55.434,1300.612,1270.569,1295.054,1282.18,4.795,2.112,23.041,21.141,1.989,50.1
1047.361454,0.653,0.648,0.642,0.649,0.641,3.233,0.70442,70.442,27.867,40.919,42.318,51.581,53.812,55.45,1302.489,1271.878,1298.19,1285.483,4.815,2.046,23.038,21.185,1.989,50.044
1047.369824,0.654,0.648,0.642,0.65,0.642,3.236,0.70447,70.447,27.867,40.857,42.275,51.469,53.506,55.111,1301.351,1270.455,1302.011,1288.901,4.796,2.068,23.036,21.191,1.986,50.766
1047.378215,0.654,0.648,0.643,0.65,0.642,3.237,0.70447,70.447,27.862,40.786,42.218,51.52,53.743,55.374,1301.294,1270.342,1304.578,1291.122,4.796,2.088,23.038,21.185,1.987,50.247
1047.386623,0.653,0.648,0.642,0.65,0.641,3.234,0.70447,70.447,27.878,41.171,42.233,51.547,53.761,55.407,1300.839,1270.342,1302.467,1289.983,4.796,2.15,23.038,21.189,1.989,50.099
1047.394994,0.653,0.648,0.641,0.65,0.641,3.233,0.70452,70.452,27.864,40.96,42.23,51.574,53.797,55.47,1300.441,1269.829,1297.734,1284.971,4.795,2.129,23.036,21.191,1.989,50.073
1047.403384,0.653,0.648,0.642,0.649,0.641,3.233,0.70442,70.442,27.871,40.804,42.302,51.73,53.826,55.513,1299.076,1269.886,1294.369,1282.009,4.797,2.128,23.038,21.191,1.989,50.03
1047.411773,0.653,0.648,0.641,0.65,0.641,3.233,0.70442,70.442,27.867,41.155,42.337,51.573,53.746,55.315,1300.213,1270.512,1298.59,1285.768,4.815,2.047,23.036,21.189,1.991,50.508
1047.420183,0.654,0.649,0.642,0.651,0.642,3.238,0.70437,70.437,27.862,40.939,42.354,51.583,53.741,55.399,1302.716,1271.366,1303.152,1290.951,4.813,2.069,23.036,21.185,1.989,50.218
1047.428553,0.654,0.649,0.642,0.651,0.642,3.238,0.70442,70.442,27.878,40.798,42.344,51.603,53.808,55.439,1302.09,1270.968,1306.288,1293.401,4.798,2.068,23.038,21.189,1.994,50.003
1047.436943,0.653,0.648,0.642,0.65,0.642,3.235,0.70452,70.452,27.878,40.721,42.287,51.653,53.841,55.51,1302.489,1271.48,1300.015,1286.85,4.795,2.147,23.036,21.187,1.993,49.661
1047.445333,0.653,0.648,0.641,0.649,0.642,3.233,0.70447,70.447,27.864,40.594,42.209,51.56,53.76,55.361,1300.441,1270.057,1296.594,1283.148,4.812,2.126,23.039,21.192,1.993,49.955
1047.453722,0.652,0.647,0.64,0.648,0.641,3.228,0.70447,70.447,27.858,40.827,42.178,51.567,53.746,55.409,1300.156,1270.74,1294.483,1280.984,4.796,2.101,23.039,21.187,1.994,49.999
1047.462111,0.654,0.649,0.642,0.65,0.643,3.238,0.70437,70.437,27.878,40.608,42.157,51.577,53.803,55.461,1301.067,1269.829,1298.59,1285.028,4.795,2.068,23.036,21.196,2.003,49.702
1047.470521,0.653,0.647,0.641,0.649,0.642,3.232,0.70437,70.437,27.884,40.501,42.194,51.613,53.856,55.511,1301.237,1270.683,1301.156,1287.762,4.812,2.068,23.036,21.128,2.001,49.885
1047.478891,0.652,0.648,0.641,0.649,0.642,3.232,0.70452,70.452,27.865,40.437,42.263,51.479,53.708,55.289,1301.351,1270.285,1303.437,1289.926,4.795,2.084,23.038,21.134,2.001,50.323
1047.487282,0.653,0.649,0.642,0.65,0.643,3.237,0.70447,70.447,27.849,40.385,42.311,51.492,53.686,55.329,1302.716,1271.366,1305.433,1291.35,4.795,2.068,23.036,21.191,2.004,50.364
1047.49569,0.652,0.647,0.64,0.649,0.641,3.229,0.70442,70.442,27.865,40.692,42.319,51.468,53.741,55.372,1298.734,1268.862,1300.7,1287.762,4.794,2.149,23.038,21.13,2.005,50.108
1047.504061,0.653,0.649,0.642,0.65,0.642,3.236,0.70447,70.447,27.867,40.599,42.282,51.482,53.797,55.419,1301.522,1270.74,1296.708,1283.831,4.795,2.118,22.967,21.194,2.005,50.147
1047.51245,0.653,0.648,0.641,0.649,0.641,3.232,0.70437,70.437,27.856,40.545,42.278,51.577,53.835,55.484,1300.213,1270.114,1294.255,1281.724,4.795,2.068,23.036,21.126,2.007,49.846
1047.52084,0.653,0.647,0.641,0.649,0.642,3.232,0.70452,70.452,27.859,40.483,42.229,51.604,53.856,55.499,1298.734,1269.033,1303.152,1289.983,4.815,2.028,23.038,21.128,2.008,49.855
1047.529231,0.653,0.648,0.642,0.65,0.643,3.236,0.70447,70.447,27.861,40.888,42.204,51.594,53.799,55.457,1300.782,1269.829,1305.718,1292.603,4.793,2.129,23.038,21.126,2.003,49.899
1047.53762,0.654,0.649,0.642,0.65,0.642,3.237,0.70427,70.427,27.862,40.818,42.168,51.625,53.869,55.515,1299.076,1268.236,1298.932,1285.54,4.795,2.129,23.036,21.126,2.001,49.924
1047.546009,0.653,0.647,0.641,0.649,0.642,3.232,0.70447,70.447,27.85,40.781,42.243,51.589,53.762,55.346,1298.734,1268.919,1295.567,1282.635,4.795,2.127,23.036,21.189,1.997,50.402
1047.554399,0.652,0.647,0.641,0.649,0.642,3.231,0.70442,70.442,27.836,41.096,42.278,51.594,53.761,55.416,1300.896,1270.569,1295.168,1282.009,4.797,2.06,23.039,21.191,1.997,50.197
1047.562788,0.652,0.647,0.641,0.649,0.642,3.231,0.70442,70.442,27.85,40.909,42.282,51.603,53.823,55.451,1298.45,1268.976,1301.384,1287.705,4.796,2.047,23.039,21.202,1.998,50.085
1047.571179,0.654,0.649,0.642,0.65,0.643,3.238,0.70442,70.442,27.856,40.784,42.284,51.639,53.809,55.52,1299.588,1268.577,1305.889,1292.147,4.796,2.069,23.036,21.132,1.986,49.796
1047.579569,0.653,0.648,0.641,0.649,0.642,3.233,0.70452,70.452,27.858,40.765,42.235,51.502,53.72,55.274,1299.701,1269.26,1300.072,1286.565,4.794,2.148,23.036,21.13,1.988,50.295
1047.587958,0.652,0.649,0.641,0.649,0.642,3.233,0.70452,70.452,27.856,41.408,42.244,51.543,53.692,55.358,1300.156,1270.228,1296.536,1282.18,4.796,2.109,23.036,21.191,1.99,50.221
1047.596349,0.653,0.648,0.641,0.649,0.642,3.233,0.70447,70.447,27.865,40.853,42.189,51.533,53.744,55.408,1301.635,1270.797,1295.396,1282.237,4.795,2.046,23.038,21.189,1.991,49.849
1047.604757,0.653,0.649,0.642,0.65,0.643,3.237,0.70447,70.447,27.879,40.664,42.151,51.597,53.799,55.457,1300.327,1270.114,1299.958,1287.192,4.796,2.059,23.036,21.185,1.997,49.864
1047.613147,0.653,0.648,0.642,0.649,0.642,3.234,0.70437,70.437,27.868,40.968,42.168,51.614,53.822,55.495,1302.034,1270.74,1303.152,1290.837,4.793,2.068,23.038,21.124,1.99,49.847
1047.621536,0.653,0.647,0.641,0.649,0.642,3.232,0.70437,70.437,27.858,40.837,42.2,51.505,53.767,55.395,1301.863,1270.342,1304.806,1292.261,4.794,2.091,23.038,21.164,1.998,49.975
1047.629927,0.654,0.648,0.642,0.649,0.642,3.235,0.70442,70.442,27.85,40.748,42.214,51.588,53.77,55.425,1300.1,1269.431,1302.011,1288.844,4.775,2.149,23.036,21.126,2.001,49.981
1047.638298,0.653,0.648,0.642,0.648,0.642,3.233,0.70442,70.442,27.842,40.689,42.246,51.604,53.806,55.461,1300.27,1269.829,1297.677,1284.401,4.796,2.129,23.038,21.13,2,49.968
1047.646688,0.653,0.647,0.641,0.648,0.642,3.231,0.70447,70.447,27.85,40.549,42.244,51.62,53.01,55.471,1302.034,1271.764,1295.453,1282.009,4.794,2.109,23.036,21.134,1.982,49.905
1047.655094,0.653,0.648,0.641,0.648,0.642,3.232,0.70452,70.452,27.852,40.871,42.221,51.477,53.741,55.295,1301.635,1270.797,1295.453,1282.009,4.793,2.049,23.036,21.12,1.985,50.276
1047.663485,0.654,0.649,0.642,0.648,0.642,3.235,0.70442,70.442,27.864,40.762,42.197,51.485,53.699,55.354,1298.791,1267.098,1300.015,1286.565,4.796,2.068,23.036,21.308,1.986,50.131
1047.671875,0.653,0.649,0.641,0.648,0.642,3.233,0.70452,70.452,27.864,40.654,42.142,51.508,53.775,55.386,1296.232,1265.106,1302.467,1289.527,4.796,2.089,23.038,21.187,1.989,49.815
1047.680246,0.654,0.649,0.641,0.649,0.643,3.236,0.70447,70.447,27.861,41.275,42.07,51.579,53.813,55.43,1297.312,1266.472,1305.319,1292.204,4.795,2.09,23.034,21.189,1.993,49.813
1047.688654,0.655,0.65,0.642,0.649,0.643,3.239,0.70447,70.447,27.868,41.37,42.084,51.611,53.873,55.486,1299.645,1268.236,1300.243,1287.932,4.817,2.15,23.034,21.247,2,49.754
1047.697044,0.654,0.649,0.642,0.649,0.642,3.236,0.70452,70.452,27.85,41.219,42.131,51.603,53.814,55.416,1298.564,1267.895,1296.137,1283.547,4.795,2.127,23.036,21.189,1.996,50.022
1047.705415,0.653,0.649,0.64,0.649,0.642,3.233,0.70447,70.447,27.858,41.033,42.198,51.626,53.861,55.495,1298.962,1267.895,1294.426,1282.464,4.795,2.065,23.039,21.187,1.996,49.935
1047.713823,0.653,0.649,0.642,0.649,0.642,3.235,0.70452,70.452,27.861,40.847,42.207,51.562,53.732,55.263,1298.791,1268.236,1301.783,1289.527,4.795,2.047,23.038,21.191,2.004,50.515
1047.722213,0.653,0.649,0.641,0.648,0.642,3.233,0.70452,70.452,27.861,40.792,42.223,51.597,53.752,55.413,1295.322,1265.846,1305.718,1293.287,4.794,2.068,22.984,21.13,2.002,50.089
1047.730602,0.654,0.65,0.641,0.649,0.642,3.236,0.70447,70.447,27.861,40.789,42.198,51.611,53.79,55.43,1297.369,1266.415,1300.072,1287.534,4.803,2.128,23.039,21.194,2.003,49.985
1047.738993,0.654,0.649,0.641,0.649,0.642,3.235,0.70447,70.447,27.85,41.708,42.174,51.618,53.832,55.499,1299.303,1267.895,1296.594,1283.718,4.816,2.11,23.039,21.191,2.003,49.824
1047.747383,0.653,0.648,0.639,0.648,0.641,3.229,0.70442,70.442,27.875,40.857,42.162,51.534,53.71,55.268,1296.289,1267.041,1294.826,1282.237,4.796,2.108,23.038,21.194,1.997,50.367
1047.755753,0.653,0.648,0.64,0.649,0.642,3.232,0.70452,70.452,27.858,40.781,42.145,51.58,53.776,55.425,1299.303,1268.577,1299.217,1286.565,4.796,2.046,23.038,21.191,2.001,50.063
1047.764144,0.653,0.648,0.64,0.649,0.641,3.231,0.70447,70.447,27.859,41.171,42.175,51.594,53.802,55.469,1299.189,1268.293,1304.178,1291.806,4.795,2.068,23.036,21.13,2.001,50.017
1047.772533,0.653,0.649,0.641,0.649,0.641,3.233,0.70442,70.442,27.868,40.816,42.217,51.565,53.705,55.342,1299.815,1268.577,1303.551,1291.635,4.797,2.15,23.036,21.185,2,50.347
1047.780943,0.653,0.648,0.64,0.649,0.641,3.231,0.70452,70.452,27.839,41.076,42.273,51.654,53.815,55.467,1296.232,1266.358,1298.875,1286.452,4.795,2.13,23.038,21.191,2.001,50.155
1047.789312,0.653,0.648,0.641,0.649,0.642,3.233,0.70437,70.437,27.841,40.983,42.33,51.656,53.816,55.471,1297.881,1267.325,1295.51,1283.262,4.797,2.11,23.036,21.194,1.999,49.969
1047.797703,0.653,0.649,0.641,0.65,0.642,3.235,0.70427,70.427,27.852,40.772,42.334,51.545,53.646,55.278,1297.654,1267.269,1296.822,1284.914,4.797,2.016,23.036,21.208,1.997,50.507
1047.806111,0.653,0.648,0.641,0.65,0.642,3.234,0.70452,70.452,27.845,40.738,42.313,51.558,53.784,55.433,1298.166,1267.155,1304.407,1291.635,4.793,2.046,23.036,21.135,1.997,49.924
1047.814501,0.653,0.648,0.64,0.649,0.641,3.231,0.70442,70.442,27.861,41.085,42.273,51.562,53.805,55.436,1298.052,1268.008,1303.494,1290.837,4.797,2.17,23.038,21.204,2.004,50.115
1047.822871,0.654,0.649,0.642,0.65,0.643,3.238,0.70447,70.447,27.85,40.939,42.279,51.601,53.85,55.475,1298.621,1266.984,1297.734,1285.426,4.795,2.127,23.038,21.181,2.004,49.849
1047.831262,0.653,0.648,0.641,0.649,0.641,3.232,0.70447,70.447,27.845,40.912,42.2,51.512,53.629,55.204,1299.872,1268.805,1294.255,1282.066,4.816,2.128,23.039,21.2,1.997,50.501
1047.839669,0.654,0.649,0.64,0.649,0.642,3.234,0.70447,70.447,27.853,40.79,42.2,51.58,53.782,55.411,1296.004,1266.017,1300.015,1287.648,4.796,2.046,23.039,21.2,1.998,50.104
1047.848058,0.653,0.648,0.64,0.649,0.641,3.231,0.70437,70.437,27.856,41.222,42.215,51.577,53.809,55.431,1297.028,1266.699,1305.091,1292.603,4.796,2.068,23.036,21.132,2,50.089
1047.856449,0.653,0.648,0.641,0.649,0.641,3.232,0.70447,70.447,27.847,41.049,42.266,51.604,53.868,55.458,1298.678,1267.838,1301.156,1288.844,4.795,2.148,23.039,21.187,1.998,50.162
1047.864821,0.653,0.648,0.64,0.649,0.641,3.231,0.70442,70.442,27.858,41.002,42.336,51.562,53.7,55.263,1298.621,1268.179,1296.936,1284.287,4.797,2.128,23.038,21.191,1.999,50.623
1047.873229,0.652,0.648,0.64,0.649,0.641,3.23,0.70437,70.437,27.855,40.915,42.333,51.647,53.814,55.434,1298.336,1268.634,1294.369,1282.009,4.794,2.109,23.036,21.187,1.999,50.23
1047.881618,0.654,0.649,0.641,0.65,0.642,3.236,0.70437,70.437,27.845,40.804,42.362,51.665,53.855,55.459,1298.507,1267.325,1300.015,1287.762,4.796,2.046,23.036,21.181,2.001,50.187
1047.889989,0.653,0.648,0.64,0.65,0.641,3.232,0.70452,70.452,27.832,40.778,42.339,51.628,52.929,55.426,1297.426,1267.553,1304.578,1291.464,4.795,2.069,23.036,21.143,1.992,50.058
1047.898379,0.652,0.647,0.64,0.649,0.641,3.229,0.70437,70.437,27.829,41.108,42.29,51.55,53.773,55.38,1298.166,1268.179,1303.437,1290.325,4.794,2.171,23.036,21.189,1.996,50.156
1047.906788,0.653,0.648,0.64,0.649,0.641,3.231,0.70447,70.447,27.836,41.024,42.247,51.551,53.766,55.403,1299.133,1268.919,1297.278,1284.23,4.793,2.147,23.036,21.191,1.997,50.043
1047.915159,0.654,0.649,0.642,0.65,0.643,3.238,0.70442,70.442,27.835,40.945,42.181,51.589,53.812,55.458,1299.417,1267.781,1293.4,1281.439,4.781,2.089,23.043,21.181,1.997,49.739
1047.923548,0.653,0.648,0.641,0.649,0.642,3.233,0.70447,70.447,27.832,40.771,42.211,51.605,53.731,55.498,1296.345,1266.415,1300.529,1288.046,4.793,2.068,23.036,21.189,2.002,50.069
1047.931957,0.653,0.648,0.642,0.65,0.642,3.235,0.70442,70.442,27.855,41.18,42.284,51.597,53.817,55.451,1300.1,1269.203,1304.692,1292.147,4.773,2.068,23.036,21.185,2.001,50.047
1047.940328,0.653,0.649,0.642,0.65,0.643,3.237,0.70437,70.437,27.855,40.987,42.331,51.636,53.856,55.502,1300.384,1269.09,1302.467,1289.926,4.795,2.15,23.036,21.187,1.999,50
1047.948736,0.653,0.649,0.642,0.65,0.642,3.236,0.70447,70.447,27.842,40.921,42.333,51.624,53.8,55.405,1297.483,1266.927,1297.677,1284.572,4.795,2.127,23.036,21.185,2,50.194
