U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm²)
0.606;0.601;0.596;0.597;0.593;2.928;100.239;1.00239
0.607;0.601;0.596;0.598;0.593;2.927;100.244;1.00244
0.606;0.6;0.595;0.597;0.593;2.926;100.244;1.00244
0.606;0.6;0.595;0.597;0.593;2.928;100.249;1.00249
0.606;0.6;0.595;0.596;0.592;2.926;100.244;1.00244
0.606;0.601;0.596;0.597;0.593;2.929;100.249;1.00249
0.606;0.601;0.596;0.597;0.593;2.93;100.244;1.00244
0.606;0.601;0.596;0.597;0.593;2.928;100.244;1.00244
0.606;0.601;0.597;0.598;0.593;2.929;100.244;1.00244
0.606;0.601;0.597;0.597;0.593;2.929;100.244;1.00244
0.606;0.602;0.597;0.598;0.594;2.932;100.244;1.00244
0.607;0.602;0.597;0.598;0.594;2.932;100.244;1.00244
0.608;0.602;0.598;0.598;0.594;2.933;100.239;1.00239
0.607;0.601;0.597;0.598;0.594;2.932;100.244;1.00244
0.608;0.602;0.598;0.599;0.594;2.936;100.244;1.00244
0.607;0.601;0.598;0.598;0.594;2.933;100.239;1.00239
0.607;0.601;0.598;0.598;0.594;2.935;100.239;1.00239
0.607;0.601;0.598;0.598;0.594;2.932;100.244;1.00244
0.608;0.602;0.598;0.599;0.594;2.935;100.244;1.00244
0.607;0.601;0.598;0.599;0.594;2.934;100.239;1.00239
0.608;0.602;0.598;0.599;0.594;2.934;100.244;1.00244
0.607;0.601;0.597;0.598;0.594;2.931;100.244;1.00244
0.607;0.602;0.598;0.598;0.594;2.934;100.244;1.00244
0.608;0.602;0.598;0.599;0.594;2.935;100.244;1.00244
0.608;0.603;0.598;0.599;0.594;2.936;100.244;1.00244
0.607;0.603;0.598;0.599;0.594;2.936;100.244;1.00244
0.607;0.603;0.599;0.599;0.595;2.938;100.244;1.00244
0.607;0.602;0.598;0.599;0.594;2.935;100.244;1.00244
0.607;0.603;0.598;0.599;0.595;2.935;100.239;1.00239
0.607;0.603;0.598;0.599;0.594;2.935;100.244;1.00244
0.607;0.602;0.597;0.598;0.594;2.933;100.244;1.00244
0.606;0.602;0.597;0.598;0.593;2.932;100.244;1.00244
0.607;0.602;0.597;0.598;0.594;2.93;100.249;1.00249
0.606;0.602;0.597;0.598;0.593;2.93;100.239;1.00239
0.606;0.602;0.598;0.598;0.594;2.934;100.234;1.00234
0.606;0.602;0.598;0.598;0.594;2.934;100.244;1.00244
0.607;0.603;0.599;0.6;0.595;2.937;100.234;1.00234
0.607;0.603;0.598;0.599;0.594;2.935;100.239;1.00239
0.607;0.603;0.599;0.599;0.595;2.939;100.244;1.00244
0.607;0.603;0.598;0.599;0.595;2.937;100.244;1.00244
0.608;0.603;0.599;0.6;0.595;2.938;100.239;1.00239
0.607;0.603;0.598;0.599;0.595;2.938;100.239;1.00239
0.607;0.603;0.598;0.599;0.595;2.938;100.244;1.00244
0.607;0.603;0.599;0.599;0.595;2.939;100.239;1.00239
0.607;0.604;0.599;0.6;0.595;2.939;100.244;1.00244
0.607;0.603;0.599;0.599;0.595;2.938;100.234;1.00234
0.607;0.604;0.599;0.6;0.595;2.939;100.244;1.00244
0.607;0.603;0.599;0.6;0.595;2.939;100.244;1.00244
0.607;0.604;0.599;0.6;0.595;2.939;100.244;1.00244
0.607;0.603;0.599;0.6;0.595;2.939;100.239;1.00239
0.607;0.603;0.598;0.599;0.595;2.939;100.239;1.00239
0.607;0.604;0.599;0.6;0.595;2.94;100.229;1.00229
0.608;0.604;0.6;0.601;0.596;2.944;100.244;1.00244
0.607;0.604;0.599;0.6;0.595;2.943;100.244;1.00244
0.607;0.604;0.599;0.6;0.596;2.942;100.244;1.00244
0.607;0.604;0.599;0.6;0.595;2.941;100.244;1.00244
0.607;0.603;0.599;0.6;0.595;2.941;100.244;1.00244
0.607;0.603;0.598;0.599;0.595;2.939;100.234;1.00234
0.607;0.603;0.599;0.6;0.595;2.937;100.244;1.00244
0.607;0.603;0.599;0.6;0.595;2.936;100.239;1.00239
0.607;0.602;0.598;0.599;0.595;2.935;100.239;1.00239
0.607;0.602;0.599;0.6;0.595;2.935;100.234;1.00234
0.607;0.603;0.599;0.6;0.595;2.938;100.244;1.00244
0.607;0.603;0.599;0.6;0.595;2.938;100.244;1.00244
0.606;0.603;0.598;0.599;0.594;2.937;100.229;1.00229
0.607;0.603;0.598;0.599;0.595;2.937;100.239;1.00239
0.607;0.603;0.599;0.6;0.595;2.937;100.239;1.00239
0.607;0.603;0.598;0.599;0.595;2.937;100.244;1.00244
0.608;0.603;0.598;0.599;0.595;2.938;100.234;1.00234
0.608;0.603;0.599;0.6;0.595;2.939;100.244;1.00244
0.607;0.602;0.598;0.599;0.595;2.938;100.244;1.00244
0.608;0.603;0.599;0.6;0.595;2.941;100.239;1.00239
0.607;0.603;0.599;0.599;0.595;2.938;100.244;1.00244
0.607;0.603;0.599;0.6;0.595;2.939;100.244;1.00244
0.607;0.603;0.599;0.6;0.595;2.939;100.239;1.00239
0.608;0.603;0.599;0.6;0.595;2.94;100.239;1.00239
0.608;0.603;0.6;0.6;0.595;2.941;100.239;1.00239
0.607;0.603;0.599;0.6;0.595;2.94;100.244;1.00244
0.607;0.603;0.599;0.601;0.595;2.941;100.244;1.00244
0.608;0.604;0.6;0.601;0.596;2.944;100.234;1.00234
0.608;0.603;0.6;0.601;0.596;2.941;100.244;1.00244
0.608;0.603;0.599;0.601;0.596;2.942;100.234;1.00234
0.608;0.603;0.6;0.601;0.596;2.942;100.244;1.00244
0.608;0.603;0.599;0.601;0.596;2.941;100.244;1.00244
0.608;0.603;0.6;0.601;0.596;2.942;100.244;1.00244
0.607;0.603;0.6;0.601;0.596;2.943;100.239;1.00239
0.608;0.603;0.599;0.601;0.596;2.941;100.244;1.00244
0.608;0.603;0.599;0.6;0.595;2.942;100.244;1.00244
0.608;0.603;0.599;0.601;0.595;2.942;100.234;1.00234
0.607;0.602;0.599;0.6;0.595;2.939;100.239;1.00239
0.608;0.603;0.599;0.601;0.595;2.941;100.239;1.00239
0.609;0.603;0.599;0.601;0.596;2.943;100.239;1.00239
0.609;0.603;0.599;0.601;0.596;2.944;100.239;1.00239
0.609;0.603;0.6;0.601;0.596;2.944;100.234;1.00234
0.61;0.604;0.6;0.601;0.596;2.945;100.239;1.00239
0.61;0.603;0.6;0.601;0.596;2.945;100.244;1.00244
0.61;0.604;0.601;0.602;0.596;2.944;100.234;1.00234
0.61;0.604;0.6;0.601;0.596;2.945;100.244;1.00244
0.61;0.604;0.6;0.601;0.596;2.945;100.244;1.00244
0.609;0.604;0.6;0.601;0.596;2.944;100.244;1.00244
0.609;0.604;0.6;0.601;0.596;2.945;100.239;1.00239
0.609;0.604;0.6;0.601;0.596;2.944;100.244;1.00244
0.61;0.604;0.6;0.601;0.596;2.946;100.239;1.00239
0.609;0.604;0.6;0.601;0.596;2.946;100.239;1.00239
0.61;0.604;0.6;0.601;0.596;2.946;100.234;1.00234
0.61;0.604;0.6;0.601;0.596;2.946;100.244;1.00244
0.61;0.605;0.601;0.602;0.597;2.948;100.234;1.00234
0.61;0.604;0.6;0.601;0.596;2.948;100.244;1.00244
0.611;0.604;0.6;0.601;0.596;2.948;100.239;1.00239
0.611;0.604;0.6;0.601;0.597;2.949;100.234;1.00234
0.611;0.604;0.6;0.601;0.597;2.948;100.244;1.00244
0.611;0.604;0.6;0.601;0.596;2.948;100.234;1.00234
0.611;0.604;0.6;0.601;0.597;2.949;100.244;1.00244
0.611;0.604;0.6;0.601;0.596;2.949;100.244;1.00244
0.61;0.604;0.6;0.601;0.596;2.947;100.244;1.00244
0.61;0.604;0.6;0.601;0.596;2.945;100.244;1.00244
0.61;0.603;0.6;0.601;0.596;2.946;100.244;1.00244
0.61;0.603;0.599;0.601;0.596;2.945;100.244;1.00244
0.609;0.603;0.6;0.601;0.596;2.944;100.244;1.00244
0.609;0.602;0.599;0.6;0.595;2.942;100.239;1.00239
0.61;0.603;0.6;0.601;0.596;2.946;100.244;1.00244
0.61;0.604;0.6;0.601;0.597;2.946;100.239;1.00239
0.61;0.603;0.6;0.601;0.596;2.947;100.244;1.00244
0.61;0.604;0.6;0.601;0.596;2.949;100.234;1.00234
0.61;0.604;0.601;0.601;0.597;2.948;100.239;1.00239
0.61;0.604;0.601;0.602;0.597;2.95;100.244;1.00244
0.61;0.604;0.601;0.602;0.597;2.949;100.249;1.00249
0.61;0.604;0.601;0.601;0.597;2.95;100.234;1.00234
0.61;0.604;0.601;0.601;0.597;2.95;100.244;1.00244
0.61;0.604;0.601;0.601;0.597;2.949;100.239;1.00239
0.61;0.604;0.601;0.602;0.597;2.949;100.244;1.00244
0.61;0.604;0.601;0.602;0.597;2.95;100.244;1.00244
0.61;0.604;0.6;0.601;0.597;2.95;100.234;1.00234
0.61;0.604;0.6;0.602;0.597;2.949;100.239;1.00239
0.61;0.604;0.601;0.602;0.597;2.951;100.239;1.00239
0.611;0.604;0.602;0.602;0.597;2.951;100.234;1.00234
0.611;0.604;0.601;0.602;0.598;2.95;100.244;1.00244
0.611;0.604;0.601;0.601;0.597;2.951;100.249;1.00249
0.612;0.605;0.601;0.602;0.598;2.953;100.234;1.00234
0.611;0.604;0.601;0.602;0.597;2.952;100.244;1.00244
0.611;0.605;0.601;0.602;0.598;2.954;100.234;1.00234
0.611;0.605;0.601;0.602;0.598;2.952;100.229;1.00229
0.611;0.605;0.601;0.602;0.598;2.952;100.239;1.00239
0.611;0.604;0.6;0.602;0.597;2.952;100.244;1.00244
0.611;0.604;0.6;0.602;0.597;2.95;100.234;1.00234
0.611;0.605;0.6;0.602;0.598;2.953;100.244;1.00244
0.611;0.605;0.6;0.602;0.598;2.951;100.244;1.00244
0.611;0.605;0.601;0.602;0.598;2.95;100.224;1.00224
0.611;0.604;0.601;0.602;0.597;2.95;100.239;1.00239
0.61;0.604;0.6;0.602;0.598;2.949;100.239;1.00239
0.61;0.604;0.6;0.602;0.597;2.946;100.244;1.00244
0.61;0.604;0.6;0.602;0.597;2.948;100.234;1.00234
0.609;0.603;0.6;0.602;0.597;2.947;100.239;1.00239
0.61;0.604;0.601;0.602;0.597;2.949;100.244;1.00244
0.61;0.604;0.6;0.602;0.597;2.95;100.244;1.00244
0.609;0.604;0.6;0.602;0.597;2.947;100.239;1.00239
0.609;0.604;0.6;0.602;0.597;2.946;100.234;1.00234
0.609;0.604;0.6;0.602;0.597;2.946;100.239;1.00239
0.61;0.604;0.6;0.602;0.597;2.949;100.239;1.00239
0.61;0.603;0.6;0.602;0.597;2.949;100.239;1.00239
0.609;0.604;0.6;0.602;0.598;2.949;100.244;1.00244
0.61;0.604;0.6;0.602;0.598;2.95;100.244;1.00244
0.61;0.603;0.6;0.602;0.597;2.949;100.244;1.00244
0.61;0.604;0.6;0.603;0.598;2.948;100.249;1.00249
0.61;0.604;0.6;0.602;0.598;2.949;100.244;1.00244
0.61;0.605;0.6;0.603;0.598;2.95;100.244;1.00244
0.61;0.605;0.601;0.603;0.598;2.95;100.239;1.00239
0.61;0.605;0.6;0.603;0.598;2.953;100.239;1.00239
0.61;0.605;0.6;0.603;0.598;2.95;100.244;1.00244
0.61;0.605;0.6;0.603;0.598;2.95;100.239;1.00239
0.61;0.605;0.6;0.603;0.598;2.952;100.229;1.00229
0.61;0.604;0.6;0.602;0.598;2.95;100.234;1.00234
0.609;0.604;0.599;0.602;0.598;2.951;100.239;1.00239
0.61;0.604;0.6;0.603;0.598;2.952;100.234;1.00234
0.61;0.605;0.6;0.603;0.598;2.953;100.229;1.00229
0.61;0.604;0.6;0.602;0.598;2.95;100.234;1.00234
0.61;0.604;0.6;0.602;0.598;2.951;100.244;1.00244
0.609;0.604;0.6;0.602;0.598;2.95;100.244;1.00244
0.61;0.604;0.6;0.602;0.598;2.952;100.239;1.00239
0.61;0.604;0.6;0.602;0.598;2.951;100.234;1.00234
0.609;0.604;0.6;0.602;0.598;2.949;100.244;1.00244
0.609;0.604;0.6;0.602;0.597;2.948;100.239;1.00239
0.609;0.603;0.6;0.602;0.597;2.946;100.244;1.00244
0.609;0.604;0.6;0.602;0.597;2.947;100.239;1.00239
0.61;0.604;0.6;0.602;0.598;2.948;100.244;1.00244
0.609;0.604;0.599;0.602;0.597;2.948;100.239;1.00239
0.609;0.604;0.599;0.602;0.597;2.948;100.244;1.00244
0.61;0.605;0.6;0.602;0.598;2.949;100.244;1.00244
0.61;0.604;0.6;0.602;0.598;2.95;100.239;1.00239
0.61;0.605;0.6;0.602;0.598;2.952;100.244;1.00244
0.61;0.605;0.6;0.602;0.598;2.95;100.244;1.00244
0.61;0.605;0.6;0.602;0.598;2.95;100.234;1.00234
0.61;0.605;0.6;0.602;0.598;2.953;100.229;1.00229
0.611;0.606;0.601;0.603;0.598;2.954;100.244;1.00244
0.611;0.605;0.6;0.603;0.598;2.953;100.239;1.00239
0.612;0.605;0.6;0.603;0.598;2.955;100.239;1.00239
0.612;0.606;0.601;0.603;0.599;2.954;100.244;1.00244
0.612;0.606;0.601;0.603;0.598;2.955;100.244;1.00244
0.611;0.605;0.601;0.603;0.598;2.955;100.239;1.00239
0.611;0.605;0.601;0.603;0.598;2.954;100.239;1.00239
0.611;0.606;0.601;0.603;0.599;2.955;100.234;1.00234
0.612;0.606;0.601;0.603;0.598;2.955;100.239;1.00239
0.612;0.605;0.601;0.603;0.598;2.955;100.234;1.00234
0.612;0.606;0.601;0.603;0.599;2.955;100.244;1.00244
0.611;0.605;0.6;0.603;0.598;2.954;100.244;1.00244
0.611;0.606;0.601;0.603;0.598;2.955;100.234;1.00234
0.612;0.606;0.601;0.604;0.599;2.956;100.244;1.00244
0.612;0.606;0.601;0.603;0.598;2.955;100.244;1.00244
0.611;0.605;0.6;0.603;0.598;2.954;100.244;1.00244
0.611;0.606;0.601;0.603;0.598;2.954;100.244;1.00244
0.611;0.605;0.601;0.603;0.598;2.952;100.239;1.00239
0.611;0.605;0.601;0.602;0.598;2.953;100.234;1.00234
0.611;0.605;0.601;0.603;0.598;2.954;100.239;1.00239
0.611;0.605;0.601;0.603;0.598;2.954;100.239;1.00239
0.61;0.605;0.601;0.603;0.598;2.954;100.239;1.00239
0.611;0.605;0.601;0.603;0.598;2.955;100.239;1.00239
0.611;0.606;0.602;0.603;0.598;2.954;100.244;1.00244
0.611;0.606;0.602;0.603;0.598;2.956;100.239;1.00239
0.611;0.606;0.601;0.603;0.598;2.955;100.244;1.00244
0.611;0.606;0.602;0.603;0.598;2.956;100.239;1.00239
0.611;0.606;0.602;0.604;0.599;2.956;100.244;1.00244
0.611;0.607;0.602;0.604;0.599;2.959;100.229;1.00229
0.611;0.606;0.602;0.604;0.599;2.956;100.239;1.00239
0.611;0.606;0.602;0.604;0.598;2.957;100.239;1.00239
0.611;0.606;0.602;0.604;0.598;2.956;100.244;1.00244
0.61;0.606;0.602;0.603;0.598;2.955;100.239;1.00239
0.611;0.606;0.602;0.604;0.599;2.955;100.244;1.00244
0.61;0.606;0.602;0.603;0.598;2.955;100.239;1.00239
0.61;0.606;0.602;0.603;0.598;2.956;100.244;1.00244
0.611;0.606;0.602;0.604;0.599;2.957;100.244;1.00244
0.611;0.606;0.602;0.604;0.599;2.956;100.229;1.00229
0.611;0.606;0.602;0.604;0.599;2.955;100.239;1.00239
0.61;0.606;0.602;0.604;0.598;2.956;100.244;1.00244
0.611;0.606;0.602;0.604;0.599;2.955;100.244;1.00244
0.61;0.605;0.601;0.603;0.598;2.954;100.249;1.00249
0.61;0.605;0.601;0.603;0.598;2.955;100.229;1.00229
0.612;0.606;0.602;0.604;0.599;2.957;100.239;1.00239
0.612;0.606;0.601;0.604;0.599;2.955;100.239;1.00239
0.611;0.605;0.601;0.603;0.598;2.955;100.244;1.00244
0.611;0.605;0.601;0.603;0.598;2.954;100.234;1.00234
0.611;0.604;0.601;0.602;0.597;2.951;100.234;1.00234
0.61;0.604;0.601;0.602;0.597;2.951;100.244;1.00244
0.611;0.605;0.601;0.602;0.598;2.952;100.244;1.00244
0.611;0.604;0.601;0.602;0.597;2.952;100.239;1.00239
0.612;0.604;0.6;0.602;0.598;2.952;100.239;1.00239
0.612;0.605;0.601;0.603;0.598;2.954;100.239;1.00239
0.611;0.605;0.601;0.603;0.598;2.953;100.234;1.00234
0.611;0.605;0.601;0.603;0.598;2.954;100.234;1.00234
0.612;0.606;0.601;0.603;0.598;2.954;100.244;1.00244
0.612;0.606;0.601;0.603;0.598;2.955;100.234;1.00234
0.612;0.606;0.601;0.603;0.598;2.955;100.234;1.00234
0.613;0.607;0.601;0.604;0.599;2.956;100.239;1.00239
0.612;0.606;0.601;0.603;0.598;2.955;100.234;1.00234
0.612;0.606;0.601;0.604;0.598;2.956;100.244;1.00244
0.612;0.606;0.601;0.604;0.598;2.958;100.239;1.00239
0.612;0.606;0.601;0.604;0.598;2.955;100.244;1.00244
0.612;0.606;0.601;0.604;0.599;2.956;100.239;1.00239
0.611;0.606;0.6;0.604;0.598;2.955;100.244;1.00244
0.612;0.606;0.601;0.604;0.598;2.956;100.229;1.00229
0.612;0.606;0.601;0.604;0.598;2.955;100.239;1.00239
0.612;0.606;0.601;0.604;0.598;2.956;100.244;1.00244
0.612;0.606;0.601;0.604;0.599;2.958;100.244;1.00244
0.612;0.606;0.601;0.604;0.599;2.958;100.239;1.00239
0.611;0.606;0.601;0.604;0.598;2.958;100.244;1.00244
0.612;0.606;0.601;0.604;0.599;2.957;100.229;1.00229
0.612;0.606;0.601;0.604;0.599;2.957;100.234;1.00234
0.611;0.606;0.602;0.604;0.598;2.957;100.239;1.00239
0.611;0.606;0.602;0.604;0.598;2.955;100.244;1.00244
0.611;0.606;0.602;0.604;0.598;2.955;100.239;1.00239
0.611;0.606;0.602;0.603;0.598;2.955;100.239;1.00239
0.61;0.606;0.602;0.603;0.598;2.954;100.239;1.00239
0.61;0.606;0.601;0.603;0.598;2.955;100.239;1.00239
0.61;0.606;0.601;0.603;0.598;2.954;100.239;1.00239
0.611;0.606;0.601;0.603;0.598;2.954;100.239;1.00239
0.611;0.606;0.602;0.604;0.598;2.956;100.244;1.00244
0.611;0.606;0.601;0.603;0.598;2.955;100.239;1.00239
0.611;0.606;0.601;0.603;0.598;2.956;100.234;1.00234
0.612;0.607;0.602;0.604;0.598;2.956;100.239;1.00239
0.612;0.607;0.602;0.604;0.599;2.957;100.234;1.00234
0.611;0.607;0.603;0.604;0.598;2.958;100.239;1.00239
0.612;0.607;0.603;0.604;0.599;2.959;100.229;1.00229
0.611;0.607;0.603;0.604;0.598;2.961;100.234;1.00234
0.612;0.607;0.603;0.604;0.598;2.958;100.239;1.00239
0.611;0.607;0.602;0.604;0.599;2.958;100.239;1.00239
0.611;0.607;0.602;0.604;0.598;2.959;100.234;1.00234
0.611;0.607;0.602;0.603;0.598;2.958;100.239;1.00239
0.611;0.606;0.602;0.603;0.598;2.957;100.244;1.00244
0.611;0.607;0.602;0.604;0.599;2.959;100.234;1.00234
0.611;0.607;0.602;0.604;0.599;2.958;100.239;1.00239
0.611;0.606;0.602;0.604;0.599;2.959;100.244;1.00244
0.611;0.606;0.602;0.604;0.598;2.956;100.239;1.00239
0.612;0.607;0.603;0.605;0.599;2.959;100.219;1.00219
0.611;0.607;0.602;0.604;0.599;2.959;100.229;1.00229
0.611;0.607;0.602;0.604;0.599;2.959;100.239;1.00239
0.611;0.607;0.602;0.604;0.599;2.958;100.234;1.00234
0.611;0.607;0.602;0.604;0.599;2.958;100.244;1.00244
0.611;0.607;0.603;0.605;0.599;2.959;100.229;1.00229
0.61;0.606;0.601;0.604;0.598;2.953;100.239;1.00239
0.61;0.606;0.601;0.604;0.598;2.953;100.224;1.00224
0.61;0.606;0.601;0.603;0.598;2.952;100.239;1.00239
0.61;0.606;0.601;0.603;0.598;2.953;100.234;1.00234
0.61;0.606;0.601;0.604;0.598;2.954;100.234;1.00234
0.61;0.606;0.601;0.604;0.598;2.954;100.244;1.00244
0.61;0.606;0.601;0.604;0.598;2.954;100.224;1.00224
0.61;0.606;0.602;0.604;0.599;2.955;100.244;1.00244
0.609;0.606;0.601;0.604;0.599;2.955;100.239;1.00239
0.611;0.606;0.602;0.605;0.599;2.957;100.244;1.00244
0.611;0.606;0.601;0.604;0.599;2.955;100.239;1.00239
0.61;0.606;0.601;0.604;0.598;2.958;100.239;1.00239
0.611;0.606;0.602;0.605;0.599;2.956;100.239;1.00239
0.611;0.606;0.601;0.605;0.599;2.957;100.244;1.00244
0.611;0.606;0.601;0.604;0.598;2.957;100.239;1.00239
0.611;0.606;0.601;0.604;0.599;2.955;100.239;1.00239
0.611;0.606;0.601;0.604;0.598;2.956;100.234;1.00234
0.611;0.606;0.601;0.604;0.599;2.956;100.244;1.00244
0.611;0.606;0.601;0.605;0.599;2.957;100.234;1.00234
0.611;0.606;0.601;0.605;0.599;2.959;100.234;1.00234
0.612;0.607;0.601;0.605;0.599;2.961;100.239;1.00239
0.611;0.606;0.601;0.605;0.599;2.957;100.244;1.00244
0.611;0.607;0.601;0.605;0.599;2.958;100.239;1.00239
0.612;0.606;0.601;0.605;0.599;2.959;100.234;1.00234
0.612;0.606;0.602;0.605;0.599;2.96;100.244;1.00244
0.612;0.606;0.602;0.604;0.599;2.959;100.239;1.00239
0.611;0.606;0.602;0.604;0.599;2.958;100.224;1.00224
0.612;0.606;0.602;0.605;0.599;2.96;100.234;1.00234
0.611;0.606;0.602;0.605;0.599;2.96;100.234;1.00234
0.612;0.607;0.603;0.605;0.599;2.959;100.244;1.00244
0.611;0.606;0.602;0.604;0.599;2.957;100.234;1.00234
0.612;0.606;0.601;0.604;0.599;2.957;100.239;1.00239
0.612;0.606;0.601;0.604;0.599;2.958;100.239;1.00239
0.612;0.605;0.601;0.604;0.598;2.958;100.244;1.00244
0.612;0.606;0.602;0.604;0.598;2.957;100.239;1.00239
0.612;0.606;0.602;0.604;0.599;2.96;100.244;1.00244
0.612;0.607;0.602;0.604;0.599;2.958;100.229;1.00229
0.612;0.606;0.602;0.604;0.599;2.957;100.239;1.00239
0.612;0.606;0.602;0.604;0.599;2.961;100.244;1.00244
0.612;0.607;0.602;0.604;0.599;2.961;100.229;1.00229
0.612;0.607;0.602;0.605;0.599;2.96;100.239;1.00239
0.612;0.607;0.602;0.605;0.599;2.961;100.234;1.00234
0.612;0.607;0.602;0.604;0.599;2.96;100.244;1.00244
0.612;0.607;0.602;0.604;0.599;2.961;100.244;1.00244
0.612;0.607;0.602;0.604;0.599;2.961;100.244;1.00244
0.612;0.606;0.602;0.604;0.599;2.959;100.239;1.00239
0.612;0.607;0.602;0.604;0.599;2.958;100.234;1.00234
0.612;0.607;0.602;0.604;0.599;2.961;100.234;1.00234
0.612;0.606;0.602;0.604;0.599;2.959;100.244;1.00244
0.611;0.606;0.602;0.604;0.599;2.958;100.234;1.00234
0.612;0.607;0.602;0.604;0.599;2.958;100.234;1.00234
0.612;0.607;0.602;0.605;0.6;2.959;100.244;1.00244
0.612;0.607;0.602;0.605;0.6;2.96;100.244;1.00244
0.612;0.606;0.601;0.604;0.599;2.958;100.239;1.00239
0.612;0.606;0.601;0.604;0.599;2.958;100.239;1.00239
0.612;0.607;0.601;0.604;0.599;2.959;100.229;1.00229
0.613;0.607;0.602;0.605;0.6;2.96;100.234;1.00234
0.613;0.607;0.601;0.604;0.599;2.961;100.234;1.00234
0.613;0.607;0.601;0.605;0.6;2.958;100.234;1.00234
0.612;0.606;0.601;0.604;0.599;2.958;100.244;1.00244
0.612;0.606;0.601;0.604;0.599;2.956;100.219;1.00219
0.612;0.606;0.601;0.604;0.599;2.955;100.239;1.00239
0.612;0.606;0.601;0.604;0.599;2.956;100.234;1.00234
0.612;0.605;0.6;0.603;0.598;2.955;100.239;1.00239
0.612;0.605;0.6;0.603;0.598;2.955;100.224;1.00224
0.613;0.606;0.601;0.604;0.599;2.954;100.244;1.00244
0.612;0.606;0.6;0.603;0.598;2.955;100.239;1.00239
0.612;0.606;0.601;0.603;0.598;2.955;100.229;1.00229
0.612;0.606;0.6;0.603;0.598;2.956;100.224;1.00224
0.612;0.607;0.601;0.604;0.599;2.956;100.244;1.00244
0.612;0.606;0.601;0.604;0.599;2.956;100.229;1.00229
0.613;0.607;0.602;0.604;0.599;2.959;100.244;1.00244
0.612;0.606;0.602;0.604;0.599;2.96;100.239;1.00239
0.612;0.606;0.602;0.604;0.599;2.959;100.239;1.00239
0.612;0.607;0.602;0.604;0.599;2.959;100.234;1.00234
0.612;0.607;0.602;0.604;0.599;2.959;100.234;1.00234
0.613;0.607;0.603;0.604;0.599;2.96;100.244;1.00244
0.612;0.607;0.602;0.604;0.599;2.96;100.234;1.00234
0.612;0.607;0.602;0.604;0.599;2.961;100.244;1.00244
0.612;0.606;0.602;0.604;0.599;2.96;100.234;1.00234
0.612;0.607;0.603;0.604;0.6;2.96;100.239;1.00239
0.612;0.607;0.603;0.604;0.6;2.959;100.229;1.00229
0.612;0.607;0.602;0.604;0.6;2.958;100.234;1.00234
0.611;0.606;0.602;0.603;0.599;2.956;100.239;1.00239
0.612;0.607;0.603;0.604;0.6;2.96;100.234;1.00234
0.612;0.606;0.603;0.604;0.599;2.96;100.234;1.00234
0.612;0.607;0.604;0.604;0.6;2.961;100.224;1.00224
0.612;0.607;0.604;0.604;0.6;2.96;100.244;1.00244
