U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm2)
0.591;0.586;0.581;0.579;0.571;2.908;100.258;1.00258
0.591;0.586;0.582;0.58;0.572;2.911;100.249;1.00249
0.59;0.586;0.582;0.58;0.572;2.91;100.249;1.00249
0.591;0.586;0.582;0.58;0.572;2.911;100.249;1.00249
0.591;0.587;0.582;0.581;0.572;2.913;100.244;1.00244
0.591;0.587;0.583;0.581;0.572;2.914;100.249;1.00249
0.591;0.586;0.582;0.581;0.572;2.912;100.249;1.00249
0.591;0.586;0.582;0.581;0.572;2.912;100.244;1.00244
0.591;0.587;0.582;0.582;0.572;2.914;100.254;1.00254
0.591;0.587;0.582;0.581;0.572;2.913;100.249;1.00249
0.591;0.587;0.582;0.581;0.572;2.913;100.249;1.00249
0.591;0.587;0.582;0.581;0.572;2.913;100.249;1.00249
0.591;0.587;0.582;0.581;0.572;2.913;100.249;1.00249
0.591;0.587;0.582;0.581;0.572;2.913;100.244;1.00244
0.591;0.587;0.582;0.581;0.572;2.913;100.249;1.00249
0.591;0.587;0.582;0.581;0.573;2.914;100.244;1.00244
0.591;0.588;0.582;0.582;0.573;2.916;100.244;1.00244
0.592;0.587;0.582;0.581;0.573;2.915;100.254;1.00254
0.591;0.587;0.581;0.581;0.572;2.912;100.249;1.00249
0.591;0.587;0.581;0.581;0.572;2.912;100.249;1.00249
0.591;0.586;0.581;0.581;0.572;2.911;100.244;1.00244
0.592;0.588;0.582;0.582;0.573;2.917;100.249;1.00249
0.59;0.587;0.581;0.581;0.572;2.911;100.239;1.00239
0.591;0.587;0.581;0.581;0.573;2.913;100.244;1.00244
0.59;0.587;0.581;0.581;0.572;2.911;100.244;1.00244
0.591;0.587;0.581;0.58;0.572;2.911;100.249;1.00249
0.59;0.587;0.581;0.581;0.573;2.912;100.254;1.00254
0.591;0.587;0.581;0.581;0.573;2.913;100.244;1.00244
0.59;0.587;0.582;0.581;0.573;2.913;100.244;1.00244
0.59;0.587;0.581;0.58;0.573;2.911;100.244;1.00244
0.59;0.587;0.581;0.58;0.573;2.911;100.249;1.00249
0.59;0.587;0.581;0.58;0.572;2.91;100.244;1.00244
0.59;0.587;0.581;0.58;0.572;2.91;100.239;1.00239
0.591;0.587;0.581;0.58;0.573;2.912;100.254;1.00254
0.591;0.588;0.582;0.581;0.573;2.915;100.254;1.00254
0.591;0.587;0.581;0.58;0.572;2.911;100.244;1.00244
0.591;0.587;0.581;0.581;0.573;2.913;100.244;1.00244
0.591;0.587;0.581;0.58;0.573;2.912;100.244;1.00244
0.591;0.587;0.581;0.58;0.572;2.911;100.249;1.00249
0.591;0.587;0.581;0.58;0.573;2.912;100.244;1.00244
0.591;0.587;0.581;0.58;0.572;2.911;100.249;1.00249
0.592;0.587;0.581;0.58;0.573;2.913;100.244;1.00244
0.592;0.587;0.581;0.581;0.573;2.914;100.258;1.00258
0.591;0.587;0.581;0.581;0.573;2.913;100.244;1.00244
0.591;0.587;0.581;0.58;0.572;2.911;100.254;1.00254
0.592;0.587;0.581;0.58;0.572;2.912;100.254;1.00254
0.592;0.587;0.58;0.58;0.572;2.911;100.254;1.00254
0.592;0.587;0.58;0.58;0.572;2.911;100.249;1.00249
0.592;0.587;0.58;0.58;0.573;2.912;100.249;1.00249
0.593;0.587;0.581;0.58;0.573;2.914;100.244;1.00244
0.593;0.587;0.58;0.58;0.572;2.912;100.244;1.00244
0.593;0.587;0.58;0.58;0.572;2.912;100.244;1.00244
0.593;0.587;0.58;0.58;0.572;2.912;100.254;1.00254
0.592;0.586;0.58;0.579;0.571;2.908;100.254;1.00254
0.593;0.586;0.58;0.579;0.571;2.909;100.249;1.00249
0.592;0.587;0.58;0.579;0.571;2.909;100.249;1.00249
0.593;0.587;0.579;0.579;0.572;2.91;100.239;1.00239
0.593;0.587;0.58;0.579;0.572;2.911;100.244;1.00244
0.592;0.586;0.579;0.579;0.571;2.907;100.244;1.00244
0.593;0.588;0.58;0.58;0.572;2.913;100.244;1.00244
0.593;0.587;0.58;0.58;0.572;2.912;100.244;1.00244
0.593;0.587;0.58;0.579;0.572;2.911;100.244;1.00244
0.593;0.587;0.58;0.58;0.573;2.913;100.244;1.00244
0.593;0.587;0.58;0.58;0.573;2.913;100.249;1.00249
0.593;0.587;0.581;0.581;0.573;2.915;100.244;1.00244
0.593;0.587;0.581;0.58;0.573;2.914;100.249;1.00249
0.593;0.587;0.581;0.58;0.572;2.913;100.244;1.00244
0.593;0.587;0.581;0.581;0.573;2.915;100.244;1.00244
0.593;0.587;0.581;0.58;0.573;2.914;100.244;1.00244
0.593;0.587;0.581;0.581;0.573;2.915;100.244;1.00244
0.593;0.588;0.581;0.581;0.573;2.916;100.254;1.00254
0.593;0.587;0.58;0.581;0.573;2.914;100.239;1.00239
0.593;0.587;0.58;0.58;0.573;2.913;100.249;1.00249
0.592;0.587;0.58;0.58;0.573;2.912;100.254;1.00254
0.592;0.588;0.581;0.581;0.573;2.915;100.244;1.00244
0.593;0.587;0.581;0.581;0.573;2.915;100.244;1.00244
0.592;0.587;0.58;0.58;0.572;2.911;100.244;1.00244
0.592;0.587;0.581;0.58;0.573;2.913;100.254;1.00254
0.592;0.587;0.581;0.58;0.573;2.913;100.244;1.00244
0.591;0.586;0.581;0.579;0.572;2.909;100.244;1.00244
0.591;0.586;0.58;0.579;0.572;2.908;100.249;1.00249
0.59;0.586;0.58;0.579;0.572;2.907;100.244;1.00244
0.59;0.586;0.58;0.579;0.572;2.907;100.258;1.00258
0.59;0.586;0.58;0.579;0.572;2.907;100.249;1.00249
0.591;0.587;0.58;0.579;0.572;2.909;100.258;1.00258
0.592;0.587;0.582;0.58;0.573;2.914;100.244;1.00244
0.591;0.587;0.582;0.579;0.572;2.911;100.244;1.00244
0.59;0.586;0.581;0.579;0.572;2.908;100.244;1.00244
0.591;0.586;0.58;0.579;0.572;2.908;100.244;1.00244
0.591;0.586;0.58;0.579;0.572;2.908;100.244;1.00244
0.591;0.586;0.581;0.58;0.572;2.91;100.254;1.00254
0.592;0.587;0.58;0.58;0.573;2.912;100.244;1.00244
0.592;0.587;0.581;0.58;0.573;2.913;100.249;1.00249
0.592;0.587;0.581;0.58;0.573;2.913;100.249;1.00249
0.592;0.587;0.581;0.58;0.573;2.913;100.234;1.00234
0.591;0.586;0.58;0.58;0.572;2.909;100.244;1.00244
0.591;0.586;0.58;0.579;0.572;2.908;100.249;1.00249
0.591;0.587;0.581;0.58;0.573;2.912;100.244;1.00244
0.591;0.586;0.58;0.58;0.573;2.91;100.244;1.00244
0.591;0.586;0.58;0.58;0.573;2.91;100.244;1.00244
0.591;0.586;0.581;0.58;0.573;2.911;100.244;1.00244
0.591;0.586;0.58;0.58;0.573;2.91;100.244;1.00244
0.591;0.587;0.581;0.58;0.573;2.912;100.244;1.00244
0.59;0.586;0.58;0.58;0.573;2.909;100.244;1.00244
0.591;0.587;0.581;0.581;0.573;2.913;100.249;1.00249
0.59;0.586;0.58;0.58;0.573;2.909;100.244;1.00244
0.591;0.587;0.58;0.58;0.573;2.911;100.244;1.00244
0.59;0.586;0.58;0.58;0.572;2.908;100.244;1.00244
0.59;0.586;0.58;0.58;0.573;2.909;100.244;1.00244
0.59;0.587;0.58;0.58;0.573;2.91;100.244;1.00244
0.591;0.587;0.581;0.58;0.573;2.912;100.244;1.00244
0.59;0.587;0.579;0.579;0.573;2.908;100.249;1.00249
0.592;0.587;0.58;0.58;0.573;2.912;100.244;1.00244
0.591;0.587;0.58;0.58;0.573;2.911;100.244;1.00244
0.592;0.587;0.581;0.58;0.573;2.913;100.249;1.00249
0.592;0.587;0.581;0.58;0.573;2.913;100.249;1.00249
0.591;0.587;0.58;0.58;0.573;2.911;100.244;1.00244
0.591;0.587;0.58;0.58;0.572;2.91;100.239;1.00239
0.592;0.587;0.58;0.58;0.573;2.912;100.239;1.00239
0.591;0.587;0.581;0.58;0.573;2.912;100.244;1.00244
0.592;0.588;0.581;0.58;0.573;2.914;100.244;1.00244
0.592;0.588;0.581;0.58;0.573;2.914;100.244;1.00244
0.592;0.588;0.581;0.58;0.573;2.914;100.254;1.00254
0.592;0.587;0.581;0.58;0.573;2.913;100.239;1.00239
0.591;0.587;0.58;0.58;0.573;2.911;100.244;1.00244
0.591;0.587;0.58;0.58;0.573;2.911;100.249;1.00249
0.591;0.588;0.58;0.581;0.573;2.913;100.244;1.00244
0.591;0.587;0.58;0.581;0.573;2.912;100.244;1.00244
0.591;0.588;0.581;0.581;0.574;2.915;100.249;1.00249
0.591;0.588;0.581;0.581;0.574;2.915;100.244;1.00244
0.591;0.587;0.581;0.581;0.574;2.914;100.249;1.00249
0.592;0.588;0.581;0.581;0.574;2.916;100.244;1.00244
0.591;0.587;0.581;0.581;0.574;2.914;100.249;1.00249
0.592;0.587;0.581;0.58;0.574;2.914;100.244;1.00244
0.591;0.587;0.58;0.58;0.574;2.912;100.244;1.00244
0.591;0.586;0.58;0.58;0.573;2.91;100.249;1.00249
0.591;0.586;0.58;0.58;0.573;2.91;100.244;1.00244
0.591;0.587;0.58;0.58;0.573;2.911;100.249;1.00249
0.59;0.586;0.58;0.58;0.572;2.908;100.244;1.00244
0.59;0.586;0.58;0.579;0.573;2.908;100.244;1.00244
0.59;0.586;0.58;0.58;0.573;2.909;100.244;1.00244
0.591;0.587;0.58;0.581;0.573;2.912;100.244;1.00244
0.591;0.587;0.581;0.581;0.573;2.913;100.249;1.00249
0.591;0.587;0.58;0.581;0.573;2.912;100.244;1.00244
0.59;0.587;0.58;0.581;0.573;2.911;100.239;1.00239
0.59;0.587;0.58;0.581;0.573;2.911;100.254;1.00254
0.591;0.587;0.581;0.581;0.573;2.913;100.244;1.00244
0.591;0.587;0.581;0.581;0.573;2.913;100.244;1.00244
0.589;0.587;0.581;0.581;0.573;2.911;100.254;1.00254
0.59;0.587;0.582;0.581;0.574;2.914;100.249;1.00249
0.591;0.588;0.582;0.582;0.574;2.917;100.244;1.00244
0.59;0.588;0.582;0.581;0.573;2.914;100.249;1.00249
0.59;0.587;0.581;0.581;0.573;2.912;100.244;1.00244
0.591;0.587;0.582;0.582;0.574;2.916;100.244;1.00244
0.591;0.587;0.582;0.581;0.573;2.914;100.244;1.00244
0.591;0.587;0.582;0.581;0.574;2.915;100.244;1.00244
0.591;0.587;0.581;0.581;0.573;2.913;100.244;1.00244
0.591;0.587;0.582;0.582;0.574;2.916;100.249;1.00249
0.591;0.588;0.581;0.581;0.573;2.914;100.244;1.00244
0.591;0.588;0.581;0.582;0.573;2.915;100.244;1.00244
0.592;0.587;0.581;0.581;0.573;2.914;100.244;1.00244
0.591;0.587;0.581;0.581;0.573;2.913;100.244;1.00244
0.592;0.587;0.58;0.581;0.573;2.913;100.249;1.00249
0.591;0.587;0.58;0.581;0.572;2.911;100.244;1.00244
0.592;0.587;0.58;0.58;0.572;2.911;100.249;1.00249
0.593;0.587;0.58;0.58;0.572;2.912;100.244;1.00244
0.593;0.586;0.58;0.58;0.572;2.911;100.249;1.00249
0.592;0.586;0.58;0.58;0.572;2.91;100.249;1.00249
0.592;0.587;0.58;0.58;0.572;2.911;100.244;1.00244
0.593;0.587;0.58;0.58;0.572;2.912;100.244;1.00244
0.593;0.587;0.58;0.58;0.572;2.912;100.244;1.00244
0.594;0.587;0.58;0.58;0.573;2.914;100.244;1.00244
0.594;0.588;0.581;0.581;0.573;2.917;100.244;1.00244
0.594;0.588;0.581;0.581;0.573;2.917;100.244;1.00244
0.594;0.587;0.581;0.581;0.573;2.916;100.249;1.00249
0.593;0.587;0.581;0.581;0.573;2.915;100.249;1.00249
0.593;0.587;0.58;0.581;0.573;2.914;100.244;1.00244
0.593;0.587;0.58;0.581;0.573;2.914;100.249;1.00249
0.593;0.587;0.58;0.581;0.573;2.914;100.244;1.00244
0.593;0.587;0.58;0.581;0.573;2.914;100.249;1.00249
0.592;0.587;0.58;0.581;0.573;2.913;100.244;1.00244
0.593;0.588;0.58;0.581;0.573;2.915;100.244;1.00244
0.594;0.588;0.58;0.581;0.573;2.916;100.249;1.00249
0.594;0.588;0.581;0.582;0.573;2.918;100.239;1.00239
0.593;0.588;0.58;0.582;0.573;2.916;100.244;1.00244
0.594;0.589;0.581;0.582;0.573;2.919;100.249;1.00249
0.593;0.588;0.58;0.581;0.573;2.915;100.244;1.00244
0.593;0.588;0.581;0.582;0.573;2.917;100.244;1.00244
0.593;0.589;0.581;0.582;0.573;2.918;100.244;1.00244
0.593;0.588;0.58;0.581;0.572;2.914;100.244;1.00244
0.592;0.587;0.579;0.58;0.572;2.91;100.244;1.00244
0.592;0.587;0.579;0.58;0.571;2.909;100.249;1.00249
0.593;0.588;0.58;0.581;0.572;2.914;100.244;1.00244
0.593;0.587;0.58;0.581;0.572;2.913;100.244;1.00244
0.592;0.587;0.579;0.58;0.572;2.91;100.244;1.00244
0.593;0.587;0.579;0.58;0.571;2.91;100.254;1.00254
0.593;0.587;0.579;0.58;0.571;2.91;100.244;1.00244
0.593;0.587;0.58;0.58;0.572;2.912;100.244;1.00244
0.593;0.587;0.58;0.58;0.572;2.912;100.239;1.00239
0.593;0.587;0.58;0.581;0.572;2.913;100.244;1.00244
0.594;0.588;0.581;0.581;0.573;2.917;100.244;1.00244
0.595;0.588;0.582;0.582;0.573;2.92;100.249;1.00249
0.594;0.587;0.58;0.581;0.573;2.915;100.249;1.00249
0.594;0.588;0.581;0.582;0.573;2.918;100.244;1.00244
0.594;0.588;0.581;0.582;0.573;2.918;100.244;1.00244
0.593;0.587;0.579;0.58;0.572;2.911;100.244;1.00244
0.593;0.588;0.58;0.581;0.573;2.915;100.244;1.00244
0.594;0.589;0.581;0.582;0.574;2.92;100.249;1.00249
0.593;0.588;0.58;0.581;0.573;2.915;100.244;1.00244
0.592;0.586;0.579;0.58;0.572;2.909;100.258;1.00258
0.593;0.587;0.58;0.581;0.573;2.914;100.244;1.00244
0.593;0.588;0.581;0.581;0.573;2.916;100.249;1.00249
0.593;0.588;0.58;0.581;0.573;2.915;100.244;1.00244
0.592;0.588;0.58;0.581;0.573;2.914;100.239;1.00239
0.593;0.588;0.58;0.581;0.573;2.915;100.249;1.00249
0.593;0.588;0.58;0.581;0.573;2.915;100.244;1.00244
0.593;0.588;0.579;0.581;0.572;2.913;100.244;1.00244
0.592;0.587;0.579;0.58;0.572;2.91;100.244;1.00244
0.593;0.588;0.579;0.581;0.573;2.914;100.249;1.00249
0.592;0.587;0.579;0.581;0.573;2.912;100.244;1.00244
0.592;0.587;0.579;0.58;0.573;2.911;100.249;1.00249
0.592;0.587;0.579;0.581;0.573;2.912;100.244;1.00244
0.592;0.587;0.579;0.581;0.573;2.912;100.244;1.00244
0.592;0.587;0.58;0.581;0.573;2.913;100.244;1.00244
0.592;0.587;0.579;0.581;0.573;2.912;100.249;1.00249
0.593;0.587;0.579;0.581;0.573;2.913;100.244;1.00244
0.592;0.587;0.579;0.581;0.573;2.912;100.249;1.00249
0.592;0.588;0.579;0.582;0.573;2.914;100.244;1.00244
0.591;0.588;0.579;0.581;0.573;2.912;100.234;1.00234
0.591;0.588;0.579;0.582;0.573;2.913;100.244;1.00244
0.592;0.588;0.579;0.581;0.573;2.913;100.244;1.00244
0.593;0.588;0.58;0.582;0.574;2.917;100.244;1.00244
0.592;0.587;0.579;0.581;0.573;2.912;100.249;1.00249
0.593;0.588;0.58;0.582;0.574;2.917;100.249;1.00249
0.592;0.588;0.58;0.582;0.574;2.916;100.244;1.00244
0.592;0.588;0.579;0.582;0.573;2.914;100.244;1.00244
0.592;0.588;0.579;0.582;0.574;2.915;100.244;1.00244
0.593;0.588;0.58;0.582;0.574;2.917;100.244;1.00244
0.593;0.588;0.58;0.582;0.574;2.917;100.239;1.00239
0.593;0.588;0.58;0.582;0.574;2.917;100.244;1.00244
0.593;0.588;0.58;0.582;0.574;2.917;100.249;1.00249
0.593;0.588;0.579;0.581;0.573;2.914;100.244;1.00244
0.592;0.587;0.579;0.581;0.573;2.912;100.249;1.00249
0.593;0.587;0.579;0.581;0.573;2.913;100.244;1.00244
0.592;0.587;0.579;0.581;0.573;2.912;100.249;1.00249
0.592;0.587;0.579;0.581;0.572;2.911;100.244;1.00244
0.593;0.587;0.579;0.581;0.573;2.913;100.239;1.00239
0.594;0.587;0.579;0.582;0.573;2.915;100.244;1.00244
0.593;0.587;0.579;0.581;0.573;2.913;100.244;1.00244
0.594;0.588;0.58;0.582;0.573;2.917;100.244;1.00244
0.594;0.587;0.579;0.581;0.573;2.914;100.244;1.00244
0.594;0.587;0.58;0.582;0.573;2.916;100.239;1.00239
0.594;0.587;0.58;0.582;0.573;2.916;100.239;1.00239
0.594;0.587;0.58;0.582;0.574;2.917;100.249;1.00249
0.594;0.588;0.58;0.583;0.574;2.919;100.249;1.00249
0.595;0.588;0.579;0.582;0.574;2.918;100.244;1.00244
0.594;0.588;0.58;0.582;0.574;2.918;100.244;1.00244
0.595;0.588;0.58;0.582;0.574;2.919;100.239;1.00239
0.594;0.587;0.579;0.582;0.574;2.916;100.249;1.00249
0.595;0.588;0.579;0.583;0.574;2.919;100.249;1.00249
0.594;0.587;0.579;0.582;0.574;2.916;100.244;1.00244
0.594;0.587;0.579;0.582;0.574;2.916;100.239;1.00239
0.594;0.588;0.579;0.582;0.574;2.917;100.244;1.00244
0.594;0.587;0.579;0.582;0.574;2.916;100.239;1.00239
0.594;0.587;0.579;0.582;0.574;2.916;100.244;1.00244
0.594;0.587;0.579;0.582;0.574;2.916;100.249;1.00249
0.594;0.587;0.58;0.582;0.574;2.917;100.249;1.00249
0.594;0.588;0.58;0.582;0.574;2.918;100.244;1.00244
0.595;0.588;0.58;0.582;0.574;2.919;100.239;1.00239
0.594;0.587;0.579;0.581;0.573;2.914;100.244;1.00244
0.595;0.587;0.579;0.582;0.573;2.916;100.244;1.00244
0.595;0.587;0.579;0.582;0.573;2.916;100.244;1.00244
0.594;0.587;0.579;0.582;0.573;2.915;100.239;1.00239
0.593;0.586;0.578;0.581;0.572;2.91;100.244;1.00244
0.594;0.586;0.579;0.581;0.573;2.913;100.244;1.00244
0.594;0.587;0.579;0.581;0.573;2.914;100.244;1.00244
0.594;0.587;0.579;0.581;0.573;2.914;100.239;1.00239
0.594;0.587;0.58;0.582;0.573;2.916;100.244;1.00244
0.594;0.586;0.579;0.581;0.573;2.913;100.239;1.00239
0.594;0.586;0.58;0.582;0.574;2.916;100.244;1.00244
0.594;0.587;0.579;0.581;0.573;2.914;100.244;1.00244
0.594;0.587;0.579;0.582;0.573;2.915;100.239;1.00239
0.594;0.587;0.58;0.582;0.574;2.917;100.239;1.00239
0.594;0.587;0.58;0.582;0.574;2.917;100.244;1.00244
0.593;0.587;0.579;0.581;0.573;2.913;100.244;1.00244
0.594;0.587;0.579;0.582;0.573;2.915;100.244;1.00244
0.594;0.587;0.579;0.582;0.573;2.915;100.239;1.00239
0.594;0.587;0.579;0.582;0.573;2.915;100.239;1.00239
0.595;0.587;0.579;0.582;0.574;2.917;100.244;1.00244
0.594;0.586;0.579;0.581;0.573;2.913;100.244;1.00244
0.593;0.586;0.578;0.581;0.573;2.911;100.244;1.00244
0.594;0.587;0.579;0.582;0.574;2.916;100.234;1.00234
0.595;0.587;0.579;0.582;0.574;2.917;100.229;1.00229
0.593;0.587;0.579;0.582;0.573;2.914;100.244;1.00244
0.593;0.587;0.579;0.582;0.574;2.915;100.244;1.00244
0.594;0.587;0.579;0.582;0.574;2.916;100.254;1.00254
0.594;0.587;0.58;0.582;0.574;2.917;100.244;1.00244
0.593;0.586;0.579;0.581;0.574;2.913;100.249;1.00249
0.593;0.587;0.58;0.582;0.574;2.916;100.244;1.00244
