U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm2)
0.6;0.592;0.589;0.584;0.573;2.938;98.09;0.9809
0.599;0.592;0.588;0.584;0.572;2.935;98.085;0.98085
0.599;0.592;0.588;0.584;0.572;2.935;98.017;0.98017
0.6;0.592;0.589;0.584;0.572;2.937;98.002;0.98002
0.6;0.592;0.588;0.584;0.572;2.936;97.987;0.97987
0.6;0.592;0.589;0.584;0.573;2.938;97.983;0.97983
0.599;0.591;0.588;0.583;0.572;2.933;97.987;0.97987
0.6;0.592;0.589;0.584;0.573;2.938;97.978;0.97978
0.6;0.592;0.589;0.584;0.573;2.938;97.904;0.97904
0.599;0.591;0.588;0.583;0.572;2.933;97.89;0.9789
0.6;0.593;0.589;0.584;0.573;2.939;97.89;0.9789
0.6;0.592;0.589;0.584;0.573;2.938;97.851;0.97851
0.599;0.592;0.589;0.584;0.573;2.937;97.812;0.97812
0.599;0.592;0.589;0.584;0.573;2.937;97.821;0.97821
0.599;0.592;0.589;0.584;0.573;2.937;97.826;0.97826
0.6;0.593;0.589;0.584;0.573;2.939;97.787;0.97787
0.6;0.593;0.589;0.584;0.573;2.939;97.773;0.97773
0.6;0.593;0.589;0.585;0.573;2.94;97.724;0.97724
0.599;0.592;0.589;0.584;0.573;2.937;97.714;0.97714
0.6;0.593;0.589;0.584;0.573;2.939;97.694;0.97694
0.6;0.593;0.589;0.584;0.573;2.939;97.694;0.97694
0.6;0.593;0.589;0.584;0.573;2.939;97.699;0.97699
0.6;0.592;0.589;0.584;0.573;2.938;97.675;0.97675
0.6;0.593;0.589;0.585;0.574;2.941;97.611;0.97611
0.6;0.593;0.589;0.584;0.573;2.939;97.597;0.97597
0.601;0.594;0.59;0.585;0.574;2.944;97.587;0.97587
0.6;0.593;0.589;0.584;0.574;2.94;97.558;0.97558
0.6;0.593;0.59;0.585;0.574;2.942;97.519;0.97519
0.6;0.593;0.589;0.584;0.574;2.94;97.519;0.97519
0.601;0.593;0.59;0.585;0.574;2.943;97.514;0.97514
0.601;0.593;0.59;0.585;0.574;2.943;97.489;0.97489
0.601;0.593;0.589;0.585;0.574;2.942;97.494;0.97494
0.601;0.593;0.59;0.585;0.574;2.943;97.47;0.9747
0.6;0.593;0.589;0.585;0.574;2.941;97.426;0.97426
0.601;0.594;0.59;0.586;0.574;2.945;97.411;0.97411
0.6;0.593;0.589;0.585;0.574;2.941;97.401;0.97401
0.602;0.594;0.591;0.586;0.575;2.948;97.367;0.97367
0.601;0.594;0.59;0.585;0.574;2.944;97.338;0.97338
0.601;0.594;0.59;0.586;0.574;2.945;97.313;0.97313
0.601;0.594;0.59;0.585;0.574;2.944;97.289;0.97289
0.601;0.594;0.59;0.586;0.574;2.945;97.274;0.97274
0.601;0.594;0.59;0.585;0.574;2.944;97.294;0.97294
0.602;0.594;0.59;0.586;0.575;2.947;97.25;0.9725
0.601;0.594;0.591;0.586;0.575;2.947;97.221;0.97221
0.602;0.594;0.591;0.586;0.575;2.948;97.216;0.97216
0.602;0.594;0.591;0.586;0.575;2.948;97.186;0.97186
0.601;0.593;0.59;0.585;0.574;2.943;97.138;0.97138
0.601;0.594;0.59;0.586;0.575;2.946;97.123;0.97123
0.601;0.594;0.59;0.586;0.575;2.946;97.133;0.97133
0.601;0.594;0.59;0.586;0.575;2.946;97.113;0.97113
0.602;0.594;0.591;0.586;0.575;2.948;97.055;0.97055
0.602;0.594;0.591;0.586;0.575;2.948;97.025;0.97025
0.602;0.594;0.591;0.587;0.575;2.949;97.02;0.9702
0.601;0.594;0.59;0.586;0.575;2.946;97.02;0.9702
0.602;0.595;0.592;0.587;0.576;2.952;96.991;0.96991
0.602;0.594;0.591;0.586;0.575;2.948;96.991;0.96991
0.602;0.595;0.591;0.586;0.575;2.949;96.981;0.96981
0.602;0.595;0.592;0.587;0.576;2.952;96.928;0.96928
0.602;0.594;0.591;0.586;0.575;2.948;96.913;0.96913
0.603;0.595;0.592;0.587;0.576;2.953;96.864;0.96864
0.602;0.595;0.591;0.587;0.576;2.951;96.889;0.96889
0.602;0.595;0.591;0.587;0.576;2.951;96.864;0.96864
0.603;0.595;0.592;0.587;0.576;2.953;96.83;0.9683
0.602;0.595;0.592;0.588;0.576;2.953;96.825;0.96825
0.602;0.595;0.591;0.587;0.576;2.951;96.776;0.96776
0.603;0.595;0.592;0.587;0.576;2.953;96.757;0.96757
0.602;0.595;0.592;0.587;0.576;2.952;96.737;0.96737
0.602;0.595;0.592;0.587;0.576;2.952;96.737;0.96737
0.603;0.595;0.592;0.587;0.576;2.953;96.727;0.96727
0.603;0.596;0.592;0.588;0.577;2.956;96.664;0.96664
0.603;0.595;0.592;0.588;0.577;2.955;96.679;0.96679
0.603;0.596;0.592;0.588;0.577;2.956;96.664;0.96664
0.602;0.595;0.592;0.588;0.577;2.954;96.63;0.9663
0.603;0.596;0.593;0.588;0.577;2.957;96.63;0.9663
0.603;0.596;0.592;0.588;0.577;2.956;96.576;0.96576
0.603;0.596;0.592;0.588;0.577;2.956;96.552;0.96552
0.603;0.596;0.593;0.588;0.577;2.957;96.537;0.96537
0.602;0.595;0.592;0.587;0.576;2.952;96.532;0.96532
0.604;0.597;0.593;0.589;0.578;2.961;96.527;0.96527
0.602;0.596;0.592;0.587;0.577;2.954;96.469;0.96469
0.604;0.596;0.593;0.589;0.578;2.96;96.454;0.96454
0.603;0.596;0.592;0.587;0.577;2.955;96.439;0.96439
0.604;0.597;0.593;0.589;0.578;2.961;96.425;0.96425
0.603;0.596;0.592;0.588;0.577;2.956;96.434;0.96434
0.604;0.596;0.593;0.589;0.578;2.96;96.429;0.96429
0.604;0.596;0.593;0.589;0.578;2.96;96.351;0.96351
0.604;0.596;0.593;0.589;0.577;2.959;96.342;0.96342
0.604;0.596;0.593;0.589;0.577;2.959;96.332;0.96332
0.604;0.597;0.594;0.589;0.578;2.962;96.332;0.96332
0.603;0.596;0.593;0.588;0.577;2.957;96.307;0.96307
0.604;0.597;0.594;0.589;0.578;2.962;96.278;0.96278
0.604;0.597;0.594;0.589;0.578;2.962;96.249;0.96249
0.603;0.596;0.593;0.588;0.577;2.957;96.239;0.96239
0.604;0.597;0.594;0.59;0.579;2.964;96.224;0.96224
0.604;0.597;0.594;0.589;0.578;2.962;96.185;0.96185
0.605;0.597;0.594;0.59;0.579;2.965;96.151;0.96151
0.604;0.597;0.594;0.589;0.578;2.962;96.141;0.96141
0.605;0.597;0.594;0.59;0.579;2.965;96.141;0.96141
0.604;0.597;0.594;0.59;0.578;2.963;96.117;0.96117
0.605;0.597;0.595;0.59;0.579;2.966;96.083;0.96083
0.604;0.597;0.594;0.589;0.578;2.962;96.068;0.96068
0.605;0.598;0.595;0.591;0.579;2.968;96.039;0.96039
0.604;0.597;0.594;0.589;0.578;2.962;96.044;0.96044
0.605;0.598;0.594;0.59;0.579;2.966;96.029;0.96029
0.604;0.597;0.594;0.59;0.579;2.964;96.005;0.96005
0.605;0.598;0.595;0.59;0.579;2.967;95.965;0.95965
0.604;0.597;0.594;0.59;0.579;2.964;95.931;0.95931
0.605;0.598;0.594;0.59;0.579;2.966;95.946;0.95946
0.605;0.597;0.594;0.59;0.578;2.964;95.936;0.95936
0.605;0.598;0.595;0.591;0.579;2.968;95.887;0.95887
0.605;0.597;0.594;0.59;0.579;2.965;95.863;0.95863
0.605;0.598;0.595;0.59;0.579;2.967;95.848;0.95848
0.605;0.597;0.595;0.59;0.579;2.966;95.838;0.95838
0.606;0.598;0.595;0.591;0.579;2.969;95.77;0.9577
0.605;0.598;0.595;0.59;0.579;2.967;95.785;0.95785
0.605;0.598;0.595;0.591;0.579;2.968;95.765;0.95765
0.605;0.598;0.595;0.591;0.579;2.968;95.76;0.9576
0.605;0.598;0.595;0.59;0.579;2.967;95.726;0.95726
0.606;0.598;0.596;0.591;0.58;2.971;95.672;0.95672
0.606;0.598;0.595;0.591;0.58;2.97;95.668;0.95668
0.605;0.598;0.595;0.59;0.579;2.967;95.653;0.95653
0.606;0.599;0.595;0.591;0.58;2.971;95.643;0.95643
0.605;0.598;0.595;0.59;0.579;2.967;95.638;0.95638
0.605;0.598;0.595;0.591;0.58;2.969;95.624;0.95624
0.606;0.598;0.595;0.591;0.58;2.97;95.58;0.9558
0.605;0.598;0.595;0.59;0.579;2.967;95.555;0.95555
0.606;0.598;0.596;0.591;0.58;2.971;95.56;0.9556
0.606;0.598;0.596;0.591;0.58;2.971;95.531;0.95531
0.606;0.598;0.595;0.591;0.58;2.97;95.482;0.95482
0.606;0.599;0.596;0.592;0.581;2.974;95.477;0.95477
0.605;0.598;0.595;0.591;0.58;2.969;95.477;0.95477
0.606;0.599;0.596;0.592;0.58;2.973;95.448;0.95448
0.606;0.599;0.596;0.592;0.58;2.973;95.438;0.95438
0.606;0.599;0.596;0.591;0.58;2.972;95.443;0.95443
0.606;0.599;0.596;0.592;0.581;2.974;95.384;0.95384
0.605;0.599;0.596;0.591;0.58;2.971;95.394;0.95394
0.606;0.599;0.596;0.592;0.581;2.974;95.375;0.95375
0.606;0.599;0.596;0.592;0.58;2.973;95.36;0.9536
0.606;0.599;0.596;0.592;0.581;2.974;95.321;0.95321
0.606;0.599;0.596;0.592;0.581;2.974;95.287;0.95287
0.606;0.6;0.596;0.592;0.581;2.975;95.262;0.95262
0.607;0.599;0.597;0.593;0.581;2.977;95.257;0.95257
0.606;0.599;0.596;0.593;0.581;2.975;95.233;0.95233
0.607;0.6;0.597;0.593;0.581;2.978;95.189;0.95189
0.606;0.599;0.596;0.593;0.581;2.975;95.169;0.95169
0.607;0.599;0.596;0.593;0.581;2.976;95.174;0.95174
0.607;0.6;0.597;0.593;0.581;2.978;95.145;0.95145
0.607;0.6;0.597;0.593;0.582;2.979;95.116;0.95116
0.606;0.599;0.596;0.593;0.581;2.975;95.081;0.95081
0.607;0.6;0.597;0.594;0.582;2.98;95.077;0.95077
0.606;0.599;0.596;0.593;0.581;2.975;95.072;0.95072
0.607;0.6;0.598;0.594;0.582;2.981;95.062;0.95062
0.607;0.6;0.597;0.593;0.582;2.979;95.038;0.95038
0.607;0.6;0.597;0.594;0.582;2.98;95.018;0.95018
0.607;0.599;0.597;0.593;0.581;2.977;94.964;0.94964
0.608;0.6;0.598;0.594;0.582;2.982;94.95;0.9495
0.607;0.6;0.597;0.593;0.581;2.978;94.935;0.94935
0.607;0.6;0.598;0.594;0.582;2.981;94.954;0.94954
0.607;0.6;0.597;0.594;0.582;2.98;94.935;0.94935
0.608;0.601;0.598;0.595;0.583;2.985;94.876;0.94876
0.607;0.6;0.597;0.594;0.582;2.98;94.857;0.94857
0.607;0.6;0.597;0.594;0.582;2.98;94.852;0.94852
0.608;0.601;0.598;0.595;0.583;2.985;94.842;0.94842
0.607;0.6;0.597;0.594;0.582;2.98;94.823;0.94823
0.608;0.601;0.598;0.595;0.583;2.985;94.774;0.94774
0.608;0.601;0.598;0.595;0.583;2.985;94.759;0.94759
0.608;0.601;0.598;0.594;0.582;2.983;94.74;0.9474
0.608;0.601;0.598;0.595;0.583;2.985;94.749;0.94749
0.607;0.6;0.597;0.594;0.582;2.98;94.735;0.94735
0.608;0.601;0.598;0.595;0.583;2.985;94.676;0.94676
0.608;0.601;0.598;0.595;0.583;2.985;94.676;0.94676
0.608;0.601;0.598;0.595;0.583;2.985;94.652;0.94652
0.608;0.601;0.598;0.595;0.583;2.985;94.652;0.94652
0.608;0.601;0.598;0.594;0.583;2.984;94.618;0.94618
0.609;0.601;0.599;0.595;0.583;2.987;94.593;0.94593
0.608;0.601;0.598;0.595;0.583;2.985;94.574;0.94574
0.608;0.601;0.599;0.595;0.584;2.987;94.559;0.94559
0.607;0.6;0.598;0.594;0.582;2.981;94.534;0.94534
0.608;0.602;0.599;0.596;0.584;2.989;94.52;0.9452
0.608;0.601;0.598;0.594;0.582;2.983;94.486;0.94486
0.609;0.602;0.599;0.596;0.584;2.99;94.486;0.94486
0.608;0.601;0.598;0.595;0.583;2.985;94.456;0.94456
0.609;0.602;0.598;0.595;0.583;2.987;94.422;0.94422
0.608;0.601;0.598;0.595;0.583;2.985;94.388;0.94388
0.609;0.602;0.599;0.596;0.584;2.99;94.388;0.94388
0.608;0.601;0.598;0.595;0.583;2.985;94.378;0.94378
0.609;0.601;0.599;0.595;0.583;2.987;94.359;0.94359
0.608;0.601;0.598;0.595;0.583;2.985;94.354;0.94354
0.609;0.602;0.599;0.596;0.584;2.99;94.31;0.9431
0.609;0.602;0.598;0.595;0.584;2.988;94.285;0.94285
0.609;0.602;0.599;0.596;0.584;2.99;94.246;0.94246
0.609;0.602;0.599;0.596;0.584;2.99;94.261;0.94261
0.609;0.602;0.599;0.596;0.584;2.99;94.217;0.94217
0.608;0.602;0.598;0.595;0.584;2.987;94.188;0.94188
0.609;0.602;0.599;0.596;0.584;2.99;94.193;0.94193
0.609;0.602;0.599;0.596;0.584;2.99;94.188;0.94188
0.608;0.602;0.599;0.596;0.584;2.989;94.188;0.94188
0.609;0.602;0.599;0.596;0.584;2.99;94.178;0.94178
0.609;0.602;0.599;0.596;0.584;2.99;94.134;0.94134
0.609;0.602;0.599;0.597;0.584;2.991;94.129;0.94129
0.608;0.602;0.599;0.596;0.584;2.989;94.09;0.9409
0.609;0.602;0.599;0.596;0.584;2.99;94.09;0.9409
0.609;0.602;0.599;0.596;0.584;2.99;94.09;0.9409
0.609;0.602;0.599;0.596;0.584;2.99;94.07;0.9407
0.609;0.602;0.599;0.596;0.584;2.99;94.012;0.94012
0.61;0.603;0.6;0.597;0.585;2.995;93.987;0.93987
0.609;0.603;0.599;0.597;0.585;2.993;93.992;0.93992
0.609;0.602;0.599;0.597;0.585;2.992;93.987;0.93987
0.61;0.603;0.6;0.597;0.585;2.995;93.939;0.93939
0.61;0.603;0.599;0.597;0.585;2.994;93.934;0.93934
0.609;0.602;0.599;0.597;0.585;2.992;93.909;0.93909
0.61;0.603;0.6;0.597;0.585;2.995;93.89;0.9389
0.609;0.603;0.599;0.597;0.585;2.993;93.836;0.93836
0.609;0.603;0.6;0.597;0.585;2.994;93.831;0.93831
0.609;0.602;0.599;0.596;0.585;2.991;93.817;0.93817
0.61;0.603;0.6;0.597;0.586;2.996;93.802;0.93802
0.609;0.602;0.599;0.597;0.585;2.992;93.777;0.93777
0.61;0.603;0.6;0.598;0.586;2.997;93.763;0.93763
0.609;0.603;0.599;0.597;0.585;2.993;93.729;0.93729
0.61;0.603;0.6;0.597;0.586;2.996;93.724;0.93724
0.609;0.603;0.6;0.597;0.585;2.994;93.699;0.93699
0.61;0.603;0.601;0.598;0.586;2.998;93.685;0.93685
0.61;0.603;0.6;0.597;0.585;2.995;93.636;0.93636
0.61;0.603;0.601;0.598;0.586;2.998;93.646;0.93646
0.611;0.604;0.601;0.598;0.586;3;93.641;0.93641
0.61;0.603;0.6;0.597;0.585;2.995;93.611;0.93611
0.61;0.603;0.601;0.598;0.586;2.998;93.592;0.93592
0.611;0.604;0.601;0.598;0.586;3;93.533;0.93533
0.61;0.604;0.601;0.597;0.586;2.998;93.543;0.93543
0.611;0.604;0.602;0.599;0.587;3.003;93.509;0.93509
0.61;0.603;0.6;0.597;0.586;2.996;93.484;0.93484
0.611;0.604;0.601;0.598;0.586;3;93.48;0.9348
0.611;0.604;0.601;0.598;0.586;3;93.436;0.93436
0.611;0.604;0.601;0.598;0.586;3;93.436;0.93436
0.611;0.604;0.601;0.599;0.586;3.001;93.406;0.93406
0.611;0.604;0.601;0.598;0.586;3;93.397;0.93397
0.612;0.605;0.602;0.599;0.587;3.005;93.406;0.93406
0.611;0.604;0.601;0.598;0.586;3;93.382;0.93382
0.612;0.604;0.602;0.598;0.587;3.003;93.328;0.93328
0.612;0.605;0.602;0.598;0.587;3.004;93.318;0.93318
0.612;0.605;0.602;0.599;0.587;3.005;93.299;0.93299
0.612;0.604;0.601;0.598;0.587;3.002;93.294;0.93294
0.612;0.604;0.601;0.598;0.587;3.002;93.27;0.9327
0.612;0.605;0.602;0.599;0.587;3.005;93.235;0.93235
0.613;0.605;0.602;0.599;0.587;3.006;93.216;0.93216
0.612;0.605;0.602;0.599;0.587;3.005;93.201;0.93201
0.612;0.605;0.603;0.599;0.588;3.007;93.187;0.93187
0.611;0.604;0.602;0.598;0.587;3.002;93.133;0.93133
0.613;0.606;0.603;0.6;0.588;3.01;93.123;0.93123
0.612;0.604;0.602;0.598;0.587;3.003;93.108;0.93108
0.613;0.606;0.603;0.6;0.588;3.01;93.108;0.93108
0.612;0.605;0.603;0.599;0.588;3.007;93.084;0.93084
0.613;0.606;0.603;0.599;0.588;3.009;93.035;0.93035
0.612;0.605;0.602;0.599;0.587;3.005;93.025;0.93025
0.613;0.606;0.603;0.6;0.588;3.01;93.03;0.9303
0.612;0.605;0.603;0.599;0.587;3.006;93.011;0.93011
0.613;0.606;0.603;0.6;0.588;3.01;92.981;0.92981
0.613;0.606;0.603;0.6;0.588;3.01;92.937;0.92937
0.613;0.605;0.602;0.599;0.588;3.007;92.928;0.92928
0.613;0.606;0.603;0.6;0.588;3.01;92.933;0.92933
0.613;0.606;0.603;0.6;0.588;3.01;92.908;0.92908
0.613;0.606;0.603;0.6;0.588;3.01;92.884;0.92884
0.613;0.605;0.603;0.599;0.588;3.008;92.845;0.92845
0.614;0.606;0.603;0.6;0.589;3.012;92.83;0.9283
0.613;0.606;0.603;0.6;0.588;3.01;92.825;0.92825
0.614;0.606;0.603;0.6;0.588;3.011;92.82;0.9282
0.614;0.607;0.604;0.6;0.589;3.014;92.766;0.92766
0.613;0.606;0.603;0.599;0.588;3.009;92.727;0.92727
0.614;0.607;0.604;0.601;0.589;3.015;92.747;0.92747
0.613;0.606;0.603;0.6;0.588;3.01;92.737;0.92737
0.614;0.607;0.604;0.6;0.589;3.014;92.718;0.92718
0.614;0.606;0.603;0.6;0.589;3.012;92.693;0.92693
0.614;0.607;0.604;0.6;0.589;3.014;92.644;0.92644
0.614;0.607;0.604;0.601;0.589;3.015;92.635;0.92635
0.614;0.607;0.604;0.601;0.589;3.015;92.625;0.92625
0.614;0.607;0.604;0.6;0.589;3.014;92.62;0.9262
0.614;0.607;0.604;0.601;0.59;3.016;92.581;0.92581
0.613;0.606;0.603;0.599;0.588;3.009;92.532;0.92532
0.615;0.608;0.605;0.602;0.59;3.02;92.527;0.92527
0.613;0.606;0.603;0.6;0.589;3.011;92.503;0.92503
0.614;0.607;0.604;0.601;0.59;3.016;92.508;0.92508
0.614;0.607;0.604;0.601;0.589;3.015;92.483;0.92483
0.613;0.606;0.603;0.6;0.589;3.011;92.434;0.92434
0.615;0.608;0.605;0.602;0.59;3.02;92.429;0.92429
0.614;0.607;0.605;0.601;0.59;3.017;92.405;0.92405
0.614;0.607;0.605;0.601;0.59;3.017;92.415;0.92415
0.614;0.607;0.605;0.601;0.59;3.017;92.39;0.9239
0.613;0.607;0.604;0.601;0.589;3.014;92.337;0.92337
0.614;0.608;0.605;0.602;0.59;3.019;92.322;0.92322
0.614;0.607;0.604;0.601;0.59;3.016;92.327;0.92327
0.614;0.607;0.604;0.601;0.59;3.016;92.303;0.92303
0.614;0.608;0.605;0.602;0.59;3.019;92.283;0.92283
0.613;0.606;0.603;0.6;0.588;3.01;92.239;0.92239
0.615;0.608;0.606;0.602;0.591;3.022;92.239;0.92239
0.614;0.608;0.605;0.602;0.59;3.019;92.229;0.92229
0.614;0.607;0.605;0.601;0.59;3.017;92.2;0.922
0.615;0.608;0.605;0.602;0.59;3.02;92.185;0.92185
0.615;0.608;0.605;0.602;0.59;3.02;92.146;0.92146
0.615;0.608;0.605;0.602;0.59;3.02;92.122;0.92122
0.615;0.608;0.605;0.602;0.59;3.02;92.107;0.92107
0.615;0.608;0.605;0.602;0.591;3.021;92.112;0.92112
0.615;0.608;0.605;0.602;0.591;3.021;92.088;0.92088
0.615;0.608;0.605;0.602;0.59;3.02;92.044;0.92044
0.615;0.608;0.605;0.602;0.591;3.021;92.039;0.92039
0.614;0.608;0.605;0.602;0.591;3.02;92.034;0.92034
0.615;0.608;0.606;0.603;0.591;3.023;92.034;0.92034
0.615;0.608;0.605;0.602;0.591;3.021;91.995;0.91995
0.615;0.608;0.605;0.602;0.591;3.021;91.99;0.9199
0.615;0.608;0.605;0.603;0.591;3.022;91.936;0.91936
0.616;0.608;0.606;0.603;0.591;3.024;91.912;0.91912
0.615;0.608;0.605;0.603;0.591;3.022;91.917;0.91917
0.615;0.608;0.605;0.603;0.591;3.022;91.892;0.91892
0.616;0.609;0.606;0.603;0.592;3.026;91.848;0.91848
0.616;0.608;0.605;0.603;0.591;3.023;91.843;0.91843
